bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
8242624,1,8242624: Update .jcheck/conf for project Amber,rwestberg,2020-04-14,2020-04-15,integrated,,,1,"edvbld,ChrisHegarty,openjdk-bot"
8242624,2,8242624: Update .jcheck/conf for project Amber (records-2),rwestberg,2020-04-14,2020-04-15,integrated,,,1,"edvbld,ChrisHegarty"
8242624,3,8242624: Update .jcheck/conf for project Amber (patterns-stage-2),rwestberg,2020-04-14,2020-04-15,integrated,,,1,edvbld
8242624,4,8242624: Update .jcheck/conf for project Amber (stats-before-this-super),rwestberg,2020-04-14,2020-04-15,integrated,,,1,edvbld
8242624,5,8242624: Update .jcheck/conf for project Amber (local-methods),rwestberg,2020-04-14,2020-04-15,integrated,,,1,edvbld
8242624,6,8242624: Update .jcheck/conf for project Amber (lambda-leftovers),rwestberg,2020-04-14,2020-04-15,integrated,,,1,edvbld
8242624,7,8242624: Update .jcheck/conf for project Amber (enhanced-enums),rwestberg,2020-04-14,2020-04-15,integrated,,,1,"edvbld,ChrisHegarty"
8242624,8,8242624: Update .jcheck/conf for project Amber (pattern-runtime),rwestberg,2020-04-14,2020-04-15,integrated,,,1,"edvbld,ChrisHegarty"
8242624,9,8242624: Update .jcheck/conf for project Amber (concise-method-declarations),rwestberg,2020-04-14,2020-04-15,integrated,,,1,"edvbld,ChrisHegarty"
,13,Merge patterns-stage-2,openjdk-bot,2020-04-15,2020-04-24,integrated|failed-auto-merge,,,9,
8242624,15,8242624: Update .jcheck/conf for project Amber (patterns) ,rwestberg,2020-04-15,2020-04-15,integrated,,,0,"edvbld,openjdk-bot"
,16,fixed comment at jvm.h,vicente-romero-oracle,2020-04-20,2020-04-21,integrated,Oracle,US,1,
,17,Merge master,openjdk-bot,2020-04-23,2020-04-24,integrated|failed-auto-merge,,,1,
,23,VM and core-libs sealed classes update,hseigel,2020-06-01,2020-06-01,integrated,Oracle,CA,0,
,37,Merge master,openjdk-bot,2020-09-10,2020-09-11,integrated|failed-auto-merge,,,1,
,38,Merge master,openjdk-bot,2020-09-10,2020-09-11,integrated|failed-auto-merge,,,1,
,40,Merge master,openjdk-bot,2020-09-10,2020-09-11,integrated|failed-auto-merge,,,1,
,41,Merge master,openjdk-bot,2020-09-10,2020-09-11,integrated|failed-auto-merge,,,1,
,42,Merge master,openjdk-bot,2020-09-10,2020-09-11,integrated|failed-auto-merge,,,1,
,43,Merge master,openjdk-bot,2020-09-10,2020-09-11,integrated,,,1,
,45,Merge master,openjdk-bot,2020-09-10,2020-09-11,integrated|failed-auto-merge,,,1,
