bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,1,Initial code reflection prototype,PaulSandoz,2024-01-16,2024-01-16,integrated,Oracle,,0,
,2,throw instead returning when erasing checked to unchecked exception,SirYwell,2024-01-17,2024-01-18,integrated,,,1,PaulSandoz
,4,Update readme,PaulSandoz,2024-01-17,2024-01-17,integrated,Oracle,,0,
,5,Support array type constants in code model,SirYwell,2024-01-19,2024-01-22,integrated,,,3,"mcimadamore,PaulSandoz"
,7,Clean up some examples,PaulSandoz,2024-01-24,2024-01-25,integrated,Oracle,,1,
,8,Make sure method parameters keep their slots when lowering,SirYwell,2024-01-26,2024-01-29,integrated,,,3,PaulSandoz
,10,Test break statements within try statements,PaulSandoz,2024-01-30,2024-01-31,integrated,Oracle,,1,
,11,Simple model testing when lowering,PaulSandoz,2024-01-30,2024-01-31,integrated,Oracle,,1,
,12,Exception regions fix,asotona,2024-01-31,2024-02-02,integrated,Oracle,CZ,2,PaulSandoz
,13,Hide implementation computing global names,PaulSandoz,2024-01-31,2024-02-07,integrated,Oracle,,7,
,14,Correct computation of block indexes,PaulSandoz,2024-02-01,2024-02-02,integrated,Oracle,,1,asotona
,15,More block checks,PaulSandoz,2024-02-02,2024-02-03,integrated,Oracle,,1,
,16,Remove bytecode dialect,asotona,2024-02-06,2024-02-12,integrated,Oracle,CZ,6,
,17,PoC of Triton programming in Java,PaulSandoz,2024-02-06,2024-02-07,integrated,Oracle,,1,
,18,Extensible types in the code model,PaulSandoz,2024-02-12,2024-02-12,integrated,Oracle,,0,
,19,Review FieldLoadOp,mabbay,2024-02-12,2024-02-14,integrated,Oracle,,2,PaulSandoz
,20,Update linq example.,PaulSandoz,2024-02-12,2024-02-13,integrated,Oracle,,1,
,21,Add and/or/xor operations to code model,SirYwell,2024-02-13,2024-02-14,integrated,,,1,PaulSandoz
,22,Replace use of MethodTypeDesc with FunctionType,PaulSandoz,2024-02-14,2024-02-14,integrated,Oracle,,0,
,23,Structured type definition,PaulSandoz,2024-02-15,2024-02-15,integrated,Oracle,,0,mcimadamore
,24,Testing BytecodeLift and BytecodeGenerator roundtrip stability,asotona,2024-02-15,2024-02-15,integrated,Oracle,CZ,0,PaulSandoz
,25,Test remove final vars,mabbay,2024-02-15,2024-03-20,integrated,Oracle,,34,PaulSandoz
,26,Invokable block parameters,PaulSandoz,2024-02-15,2024-02-16,integrated,Oracle,,1,
,27,Stream code elements,PaulSandoz,2024-02-16,2024-02-17,integrated,Oracle,,1,
,28,Fix compilation issue with CodeElement.elements,PaulSandoz,2024-02-23,2024-02-23,integrated,Oracle,,0,
,29,Separate TypeElement from Type.,PaulSandoz,2024-02-26,2024-02-26,integrated,Oracle,,0,
,30,Model String Template,mabbay,2024-02-26,2024-03-11,integrated,Oracle,,14,"PaulSandoz,mcimadamore"
,31,Remove MethodTypeDesc,PaulSandoz,2024-02-29,2024-03-01,integrated,Oracle,,1,mcimadamore
,32,Assert code modeling,igraves,2024-03-01,2024-03-02,integrated,Oracle,,1,PaulSandoz
,33,Descriptor to reference,PaulSandoz,2024-03-04,2024-03-05,integrated,Oracle,,1,mcimadamore
,34,Code model from method reference,PaulSandoz,2024-03-05,2024-03-06,integrated,Oracle,,1,mcimadamore
,35,Obtain parent code element from code element,PaulSandoz,2024-03-06,2024-03-07,integrated,Oracle,,1,
,36,Assertion Interpreter Implementation,igraves,2024-03-08,2024-03-14,integrated,Oracle,,6,PaulSandoz
,37,A transformer of code models to models that build them.,PaulSandoz,2024-03-11,2024-03-14,integrated,Oracle,,3,
,38,Example use of code reflection in translating Java to SPIR-V,steveatgh,2024-03-12,2024-03-14,integrated,,,2,PaulSandoz
,39,Lower StringTemplateOp,mabbay,2024-03-13,2024-03-20,integrated,Oracle,,7,PaulSandoz
,40,More systematic binary op tests,SirYwell,2024-03-16,2024-04-08,integrated,,,23,PaulSandoz
,41,Fix unbox invocation,PaulSandoz,2024-03-18,2024-03-18,integrated,Oracle,,0,
,42,Generate bytecode from an invokable op.,PaulSandoz,2024-03-18,2024-03-19,integrated,Oracle,,1,
,43,Uncomment a String Template Test,mabbay,2024-03-20,2024-03-25,integrated,Oracle,,5,PaulSandoz
,44,"BytecodeGenerator, BytecodeLift and TestBytecode improvements",asotona,2024-03-22,2024-03-28,integrated,Oracle,CZ,6,PaulSandoz
,45,Lower SwitchExpressionOp,mabbay,2024-04-03,2024-06-03,integrated,Oracle,,61,PaulSandoz
,46,Refactor JavaType,mcimadamore,2024-04-08,2024-04-09,integrated,Oracle,GB,1,PaulSandoz
,48,BytecodeGenerator support of lambdas,asotona,2024-04-09,2024-04-15,integrated,Oracle,CZ,6,PaulSandoz
,49,Implement shift ops,SirYwell,2024-04-10,2024-04-15,integrated,,,5,PaulSandoz
,50,Erase receiver type before calling Gen::binaryQualifier,mcimadamore,2024-04-12,2024-04-15,integrated,Oracle,GB,3,PaulSandoz
,51,Add support for more types,mcimadamore,2024-04-15,2024-04-26,integrated,Oracle,GB,11,PaulSandoz
,52,InnerClassLambdaMetafactory fix of hidden classes handling,asotona,2024-04-17,2024-04-18,integrated,Oracle,CZ,1,PaulSandoz
,53,Issues with captures in quotable lambdas,mcimadamore,2024-04-17,2024-04-17,integrated,Oracle,GB,0,PaulSandoz
8324789,54,8324789: Add line number information to code models,PaulSandoz,2024-04-17,2024-04-25,integrated,Oracle,,8,mcimadamore
,55,Missing conversion for some unary operators,mcimadamore,2024-04-18,2024-04-18,integrated,Oracle,GB,0,PaulSandoz
,57,Refine support for captured values.,PaulSandoz,2024-04-18,2024-04-22,integrated,Oracle,,4,
,58,BytecodeGenerator cleanup and and types handling fixes,asotona,2024-04-19,2024-04-22,integrated,Oracle,CZ,3,PaulSandoz
,59,Temporarily disable TestSmallCorpus tests,PaulSandoz,2024-04-22,2024-04-22,integrated,Oracle,,0,asotona
,60,Determine if lambda operation originates from a method reference,PaulSandoz,2024-04-22,2024-04-23,integrated,Oracle,,1,mcimadamore
,61,Preserve order of captured value,PaulSandoz,2024-04-23,2024-04-24,integrated,Oracle,,1,
,62,Externalizable operations,PaulSandoz,2024-04-25,2024-05-01,integrated,Oracle,,6,mcimadamore
,63,Fix test failure after PR/51,mcimadamore,2024-04-26,2024-04-26,integrated,Oracle,GB,0,PaulSandoz
,64,Enable pattern matching for JavaType hierarchy,mcimadamore,2024-04-26,2024-04-29,integrated,Oracle,GB,3,PaulSandoz
,65,Make jdk.compiler build depend on code model API in java.base,mcimadamore,2024-04-29,2024-04-29,integrated,Oracle,GB,0,PaulSandoz
,66,Add common supertype for type-variable owners,mcimadamore,2024-04-29,2024-04-29,integrated,Oracle,GB,0,PaulSandoz
,67,Clean up support for boxing,mcimadamore,2024-04-30,2024-04-30,integrated,Oracle,GB,0,PaulSandoz
,68,Merge master,PaulSandoz,2024-04-30,2024-05-01,integrated,Oracle,,1,
,69,Fix test,PaulSandoz,2024-05-01,2024-05-01,integrated,Oracle,,0,
,71,Cleanup JavaType factories,mcimadamore,2024-05-02,2024-05-03,integrated,Oracle,GB,1,PaulSandoz
,72,Refactor TypeDefinition to ExternalizedTypeElement,PaulSandoz,2024-05-02,2024-05-03,integrated,Oracle,,1,mcimadamore
,73,"CoreOps to CoreOp, ExtendedOps to ExtendedOp",PaulSandoz,2024-05-02,2024-05-03,integrated,Oracle,,1,mcimadamore
,74,Fix test,PaulSandoz,2024-05-03,2024-05-03,integrated,Oracle,,0,
,75,Lowering transformer,PaulSandoz,2024-05-03,2024-05-07,integrated,Oracle,,4,
,76,Sealed interfaces marking operations that model a Java language construct,PaulSandoz,2024-05-10,2024-05-17,integrated,Oracle,,7,mcimadamore
,77,Implement bitwise/shift assignment operations,SirYwell,2024-05-15,2024-05-16,integrated,,,1,PaulSandoz
,78,Fix triton example.,PaulSandoz,2024-05-15,2024-05-15,integrated,Oracle,,0,
,79,Enhance OpWriter,PaulSandoz,2024-05-16,2024-05-17,integrated,Oracle,,1,
,80,BytecodeLift implementation progress + SlotOp,asotona,2024-05-20,2024-05-24,integrated,Oracle,CZ,4,PaulSandoz
,81,Test for creating a module of functions from invocations,PaulSandoz,2024-05-21,2024-05-28,integrated,Oracle,,7,
,82,HAT needs public access to TranslateToSpirvModel,grfrost,2024-05-22,2024-05-22,integrated,Oracle,,0,
,83,Hat initial implementation and build infrastructure,grfrost,2024-05-22,2024-05-22,integrated,Oracle,,0,
,84,Added Clion CMakefile to backends reformated cpp/h files,grfrost,2024-05-23,2024-05-23,integrated,Oracle,,0,
,85,Add CUDA Clion artifacts and cleanup cuda backend,grfrost,2024-05-23,2024-05-23,integrated,Oracle,,0,
,86,Fixed Race Condition in PTX nvcc compiler. Also atomicInc->atomicAdd,grfrost,2024-05-23,2024-05-23,integrated,Oracle,,0,
,87,fix opencl buffer created by last cuda fix..,grfrost,2024-05-23,2024-05-23,integrated,Oracle,,0,
,88,add cmake opencl stanza for non Apple machines,grfrost,2024-05-24,2024-05-24,integrated,Oracle,,0,
,89,Ubuntu opencl cmake fix for opencl shared libs and execs,grfrost,2024-05-24,2024-05-24,integrated,Oracle,,0,
,90,Clion CMakeLists.txt updates for ubuntu opencl,grfrost,2024-05-24,2024-05-24,integrated,Oracle,,0,
,91,OpWriter block naming align with block indexes,asotona,2024-05-24,2024-05-27,integrated,Oracle,CZ,3,PaulSandoz
,92,Hat opencl cuda mergees,grfrost,2024-05-24,2024-05-24,integrated,Oracle,,0,
,93,Hat find cuda ill access,grfrost,2024-05-25,2024-05-25,integrated,Oracle,,0,
,94,Hat sync with cuda changes,grfrost,2024-05-25,2024-05-25,integrated,Oracle,,0,
,95,Hat sync with cuda changes,grfrost,2024-05-25,2024-05-25,integrated,Oracle,,0,
,96,added some examples to migrate to hat,grfrost,2024-05-26,2024-05-26,integrated,Oracle,,0,
,97,Clearly mark which AST nodes are unsupported in ReflectMethods,mcimadamore,2024-05-27,2024-05-28,integrated,Oracle,GB,1,PaulSandoz
,98,initial work dumping schema from native,grfrost,2024-05-27,2024-05-27,integrated,Oracle,,0,
,99,create cuda version of new squares demo,grfrost,2024-05-27,2024-05-27,integrated,Oracle,,0,
,100,At least one element in 'flexible array members' for some OpenCL comp…,grfrost,2024-05-28,2024-05-28,integrated,Oracle,,0,
,101,Updated code for dumping schema (debugging cuda violajones),grfrost,2024-05-29,2024-05-29,integrated,Oracle,,0,
