bug_id,pr_number,title,author,org,country,created,closed,review_days,module,jdk_version,pr_type,is_backport,is_jep,sub_component,has_analysis,jbs_priority,jbs_component,jbs_fix_version,jbs_labels,reviewers,sponsor,changed_files,additions,deletions
8252657,19,8252657: JVMTI agent is not unloaded when Agent_OnAttach is failed,YaSuenag,NTT Data,JP,2020-09-05,2021-01-15,132,runtime/serviceability,JDK 16,,0,0,JVMTI,0,P4,hotspot,17,,"dholmes-ora,sspitsyn",,3,15,5
8258422,20,8258422: Cleanup unnecessary null comparison before instanceof check in java.base,turbanoff,Devexperts,RU,2020-09-05,2021-01-11,128,core-libs,JDK 16,cleanup,0,0,Cleanup,0,P4,core-libs,17,noreg-cleanup,"AlanBateman,AlekseiEfimov,ChrisHegarty,dfuch,turbanoff",AlekseiEfimov,22,69,81
8251549,21,8251549: Update docs on building for Git,jddarcy,Oracle,US,2020-09-05,2020-11-23,79,build,JDK 16,update,0,0,Update,0,P3,infrastructure,16,"jdk11u-fix-request,jdk11u-fix-yes,jdk13u-fix-request,jdk13u-fix-yes,jdk15u-fix-request,jdk15u-fix-yes,noreg-doc","Croydon,LanceAndersen,erikj79,magicus,mrserb",,1,31,56
8252817,22,8252817: Cleanup the classes in the java.awt.color package,mrserb,Oracle,RU,2020-09-05,2020-09-10,5,arch/x86,JDK 16,cleanup,0,0,Cleanup,0,P4,client-libs,16,noreg-cleanup,"jayathirthrao,mrserb,pankaj-bansal",,7,136,128
8252715,23,8252715: Problem list java/awt/event/KeyEvent/KeyTyped/CtrlASCII.java on Linux,prrace,Oracle,US,2020-09-05,2020-09-05,0,client,JDK 16,test,0,0,Problem,0,P2,client-libs,16,"jdk11u-fix-request,jdk11u-fix-yes,noreg-self,testbug,ursqe-triaged",mrserb,,1,1,0
8252679,24,8252679: Two windows specific FileDIalog tests may fail on some Windows_Server_2016_Standard,mrserb,Oracle,RU,2020-09-06,2020-09-06,0,core-libs/java.io,JDK 16,bugfix,0,0,Two,0,P4,client-libs,16,"8bpr-critical-approved,jdk11u-fix-request,jdk11u-fix-yes,noreg-self,testbug",prrace,,2,6,1
8252103,25,8252103: Parallel heap inspection for ParallelScavengeHeap,linzang,,,2020-09-06,2020-11-05,60,gc,JDK 16,enhancement,0,0,Parallel,0,P4,hotspot,16,tencent-interest,"albertnetymk,kstefanj,linzang,tschatzl",,4,111,0
8252767,26,8252767: URLConnection.setRequestProperty throws IllegalAccessError,jaikiran,Oracle,IN,2020-09-06,2020-09-08,2,arch/x86,JDK 16,,0,0,8252767,0,P4,core-libs,16,"additional-information-received,dcsaw,reproducer-yes,webbug","AlanBateman,ChrisHegarty,Michael-Mc-Mahon,jaikiran",openjdk[bot],2,129,31
8250961,27,8250961: Move Universe::update_heap_info_at_gc to CollectedHeap,adityamandaleeka,,,2020-09-06,2020-09-10,4,gc,JDK 16,refactor,0,0,Move,0,P4,hotspot,16,"cleanup,starter","kimbarrett,stefank,tschatzl",openjdk[bot],12,28,30
8248532,28,8248532: Every time I change keyboard language at my MacBook; Java crashes,prsadhuk,Oracle,IN,2020-09-06,2020-09-09,3,client,JDK 16,,0,0,Every,0,P2,client-libs,16,"additional-information-received,azul-interest,dcspks,jdk11u-fix-request,jdk11u-fix-yes,jdk13u-fix-request,jdk13u-fix-yes,jdk15u-fix-request,jdk15u-fix-yes,regression,regression_8214578,reproducer-hard,review-requested,webbug","mrserb,prrace",,1,1,1
8252825,30,8252825: Add automated test for fix done in JDK-8218479,pankaj-bansal,,,2020-09-06,2020-09-07,1,test,JDK 16,bugfix,0,0,Add,0,P3,client-libs,16,"jdk11u-fix-request,jdk11u-fix-yes,noreg-self,testbug","mrserb,prrace",,1,140,0
8238669,31,8238669: Long.divideUnsigned is extremely slow for certain values (Needs to be Intrinsic),rgiulietti,Oracle,IT,2020-09-06,2020-10-21,45,core-libs/java.lang,JDK 16,optimization,0,0,8238669,0,P4,core-libs,16,"additional-information-not-received,dcsaw,reproducer-other,webbug","bplb,eamonnmcmanus,rgiulietti,shipilev",openjdk[bot],2,79,42
8252522,32,8252522: nsk/share/test/StressOptions should multiple stressTime by jtreg's timeout-factor,iignatev,Oracle,RU,2020-09-06,2020-09-06,0,test,JDK 16,test,0,0,nsk/share/test/StressOptions,0,P4,hotspot,16,noreg-self,,,1,19,29
