bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
8273607,1,8273607: Import crac/jdk,AntonKozlov,2021-09-03,2021-09-14,integrated,Azul,,11,simonis
,3,Decouple JVM and CRIU,AntonKozlov,2021-10-28,2021-11-10,integrated,Azul,,13,DanHeidinga
,6,Disable recursive checkpoint,alexeybakhtin,2021-12-07,2022-01-11,integrated,Azul,,35,AntonKozlov
,7,Reseed secure random on checkpoint restore,alexeybakhtin,2021-12-17,2022-01-31,integrated,Azul,,45,AntonKozlov
,8,JDKResource priorities,alexeybakhtin,2021-12-20,2022-01-08,integrated,Azul,,19,"DanHeidinga,AntonKozlov"
,9,Reseed NativePRNG on checkpoint restore,alexeybakhtin,2021-12-23,2022-01-28,integrated,Azul,,36,AntonKozlov
,10,Report checkpoint processing to jcmd,Larry-N,2022-01-25,2022-11-10,integrated,,,289,AntonKozlov
,11,Run native CRaC checks after failed beforeCheckpoint,AntonKozlov,2022-01-28,2022-02-10,integrated,Azul,,13,Larry-N
,12,Get tracing properties lazily,AntonKozlov,2022-01-28,2022-01-31,integrated,Azul,,3,DanHeidinga
,13,Ensure empty Reference Handler and Cleaners queues,AntonKozlov,2022-01-31,2022-02-01,integrated,Azul,,1,DanHeidinga
,14,Clear JarFileFactory cache on checkpoint,AntonKozlov,2022-02-01,2022-02-10,integrated,Azul,,9,alexeybakhtin
,15,[TEST] check if some j.l.* methods time out on restore immediately,stepanov17,2022-02-04,2022-03-16,integrated,,,40,AntonKozlov
,16,Provide arguments for restore,AntonKozlov,2022-02-11,2022-04-08,integrated,Azul,,56,alexeybakhtin
,17,Fix NPE on ZipFile$Source access,AntonKozlov,2022-03-03,2022-04-11,integrated,Azul,,39,DanHeidinga
,18,Collect CREngine child,AntonKozlov,2022-04-07,2022-04-22,integrated,Azul,,15,DanHeidinga
,20,Disable non-buildable platforms in GHA,AntonKozlov,2022-04-12,2022-04-18,integrated,Azul,,6,DanHeidinga
,21,Allow users to pass new properties on restore,ashu-mehra,2022-04-14,2022-05-30,integrated,IBM,CA,46,AntonKozlov
,23,Fix crash after shm_open failure,AntonKozlov,2022-06-07,2022-06-10,integrated,Azul,,3,DanHeidinga
,25,Don't crash the VM if checkpointing fails,simonis,2022-06-29,2022-06-29,integrated,Amazon,DE,0,AntonKozlov
,26,Support extra criu flags from the environment,simonis,2022-06-29,2022-07-04,integrated,Amazon,DE,5,AntonKozlov
,27,Block RESTORE_SIGNAL in all threads,simonis,2022-07-05,2022-07-06,integrated,Amazon,DE,1,AntonKozlov
,29,API for restore time,AntonKozlov,2022-09-12,2022-09-28,integrated,Azul,,16,snazarkin
,30,Environment vars propagation into restored process,wkia,2022-09-29,2022-10-24,integrated,Azul,,25,AntonKozlov
,32,Add CRAC_CRIU_LEAVE_RUNNING option,AntonKozlov,2022-10-11,2022-10-12,integrated,Azul,,1,simonis
,34,Backout new API to sync with Reference Handler,AntonKozlov,2022-11-10,2023-05-03,integrated,Azul,,174,
,35,Assume module jars persistent,AntonKozlov,2022-11-29,2022-12-01,integrated,Azul,,2,DanHeidinga
,36,Fix [ASSERT] compilation error after fdf4eb8dd5c2a11176eb1ec8f40b3f4133a872aa,jankratochvil,2022-12-01,2022-12-01,integrated,Azul,,0,AntonKozlov
,38,Print peristent JAR assumptions,AntonKozlov,2022-12-09,2022-12-19,integrated,Azul,,10,DanHeidinga
,40,DNS cache maintenance,rvansa,2023-01-05,2023-02-21,integrated,Azul,,47,AntonKozlov
,41,RFC: -XX:CPUFeatures=0xnumber for CPU migration,jankratochvil,2023-01-30,2023-06-26,integrated,Azul,,147,
,43,Improved open file descriptors tracking,rvansa,2023-01-31,2023-05-11,integrated,Azul,,100,AntonKozlov
,44,Fix failures in testsuite,rvansa,2023-02-02,2023-02-14,integrated,Azul,,12,AntonKozlov
,45,Close extraneous file descriptors,rvansa,2023-02-16,2023-02-28,integrated,Azul,,12,AntonKozlov
,46,CRaC may exit before image dump is completed,wkia,2023-02-21,2023-03-15,integrated,Azul,,22,AntonKozlov
,47,Fix failing CRaC tests,rvansa,2023-02-22,2023-03-01,integrated,Azul,,7,AntonKozlov
,48,Add CRaC-specific tests to GHA,rvansa,2023-02-22,2023-03-24,integrated,Azul,,30,AntonKozlov
,49,Document CRaCCheckpointTo and CRaCRestoreFrom in java(1) man page,jankratochvil,2023-02-23,2023-03-02,integrated,Azul,,7,AntonKozlov
,50,Convert CRaC tests from shell scripts to Java,rvansa,2023-02-24,2023-03-20,integrated,Azul,,24,AntonKozlov
,51,CRaC related documentation in JDK classes using custom tag,rvansa,2023-02-28,2023-07-19,integrated,Azul,,141,AntonKozlov
,52,Implement CRaC exit codes,wkia,2023-03-20,2023-03-24,integrated,Azul,,4,
,53,Correct System.nanotime() value after restore,rvansa,2023-03-23,2023-06-19,integrated,Azul,,88,
