bug_id,pr_number,title,author,created,closed,labels
8252657,19,8252657: JVMTI agent is not unloaded when Agent_OnAttach is failed,YaSuenag,2020-09-05,2021-01-15,integrated|serviceability|hotspot
8258422,20,8258422: Cleanup unnecessary null comparison before instanceof check in java.base,turbanoff,2020-09-05,2021-01-11,integrated|nio|core-libs|net
8251549,21,8251549: Update docs on building for Git,jddarcy,2020-09-05,2020-11-23,integrated|build
8252817,22,8252817: Cleanup the classes in the java.awt.color package,mrserb,2020-09-05,2020-09-10,integrated|2d
8252715,23,8252715: Problem list java/awt/event/KeyEvent/KeyTyped/CtrlASCII.java on Linux,prrace,2020-09-05,2020-09-05,integrated|awt
8252679,24,8252679: Two windows specific FileDIalog tests may fail on some Windows_Server_2016_Standard,mrserb,2020-09-06,2020-09-06,integrated|awt
8252103,25,8252103: Parallel heap inspection for ParallelScavengeHeap,linzang,2020-09-06,2020-11-05,integrated|hotspot-gc|test-request
8252767,26,8252767: URLConnection.setRequestProperty throws IllegalAccessError,jaikiran,2020-09-06,2020-09-08,integrated|net
8250961,27,8250961: Move Universe::update_heap_info_at_gc to CollectedHeap,adityamandaleeka,2020-09-06,2020-09-10,integrated|hotspot-gc
8248532,28,"8248532: Every time I change keyboard language at my MacBook, Java crashes",prsadhuk,2020-09-06,2020-09-09,integrated|awt
8252825,30,8252825: Add automated test for fix done in JDK-8218479,pankaj-bansal,2020-09-06,2020-09-07,integrated|swing
8238669,31,8238669: Long.divideUnsigned is extremely slow for certain values (Needs to be Intrinsic),rgiulietti,2020-09-06,2020-10-21,integrated|core-libs
8252522,32,8252522: nsk/share/test/StressOptions should multiple stressTime by jtreg's timeout-factor,iignatev,2020-09-06,2020-09-06,integrated|hotspot
8252778,33,8252778: remove jdk.test.lib.FileInstaller action from compiler/c2/stemmer test,iignatev,2020-09-06,2020-09-10,integrated|hotspot-compiler
8252774,34,8252774: remove jdk.test.lib.FileInstaller action from graalunit tests,iignatev,2020-09-06,2020-09-10,integrated|hotspot-compiler
8252543,35,8252543: [JVMCI] Libgraal can deadlock in blocking compilation mode,dougxc,2020-09-06,2020-09-12,integrated|hotspot-compiler
8252837,36,8252837: Cleanup SAP Copyright file headers,RealCLanger,2020-09-07,2020-09-07,integrated|serviceability|hotspot|nio|net
8252406,37,8252406: Introduce Thread::as_Java_thread() convenience function,dholmes-ora,2020-09-07,2020-09-11,integrated|serviceability|hotspot|shenandoah
8252773,38,8252773: [TESTBUG] serviceability/jvmti/GetObjectSizeOverflow fails due to OOM conditions,mychris,2020-09-07,2020-09-08,integrated|serviceability
8252844,39,8252844: Update check configuration to Skara format,rwestberg,2020-09-07,2020-09-07,integrated|build
8252500,40,8252500: ZGC on aarch64: Unable to allocate heap for certain Linux kernel configurations,mychris,2020-09-07,2020-09-08,integrated|hotspot-gc
8250840,41,8250840: some tests use --enable-preview unnecessarily,lahodaj,2020-09-07,2020-09-09,integrated|javadoc|compiler|kulla
8235229,43,"8235229: Compilation against a modular, multi-release JAR erroneous with --release",lahodaj,2020-09-07,2020-09-09,integrated|compiler
8247928,44,8247928: Refactor G1ConcurrentMarkThread for mark abort,tschatzl,2020-09-07,2020-09-10,integrated|hotspot-gc
8138732,45,8138732: Rename @HotSpotIntrinsicCandidate to @IntrinsicCandidate and move it to the jdk.internal.vm.annotation package,marschall,2020-09-07,2020-09-30,integrated|build|hotspot|nio|core-libs|i18n|security
8166554,46,8166554: Avoid compilation blocking in OverloadCompileQueueTest.java,lepestock,2020-09-07,2020-09-08,integrated|hotspot-compiler
8252859,47,8252859: Inconsistent use of alpha in class AbsSeq,albertnetymk,2020-09-07,2020-09-08,integrated|hotspot|hotspot-gc
8251152,48,8251152: ARM32: jtreg c2 Test8202414 test crash,fzhinkin,2020-09-07,2020-09-07,integrated|hotspot-compiler
8247589,49,JDK-8247589: Implementation of Alpine Linux/x64 Port,voitylov,2020-09-07,2020-10-13,integrated|build|serviceability|hotspot|core-libs|test-request
8240658,50,8240658: Code completion not working for lambdas in method invocations that require type inference,lahodaj,2020-09-07,2020-09-14,integrated|compiler|kulla
8252695,51,8252695: Shenandoah: clean up Graal enabled/disabled filter in tests,shipilev,2020-09-07,2020-09-08,integrated|hotspot|shenandoah
8245194,52,8245194: Unix domain socket channel implementation,Michael-Mc-Mahon,2020-09-07,2020-10-28,integrated|nio|net|hotspot-jfr
8252794,53,8252794: Creation of JNIMethodBlock should be done with a leaf lock,robehn,2020-09-07,2020-09-09,integrated|hotspot
8252661,54,"8252661: Change SafepointMechanism terminology to talk less about ""blocking""",fisk,2020-09-07,2020-09-07,integrated|hotspot
8240751,55,8240751: Shenandoah: fold ShenandoahTracer definition,shipilev,2020-09-07,2020-09-09,integrated|hotspot-gc|shenandoah
8250968,56,8250968: Symlinks attributes not preserved when using jarsigner on zip files,coffeys,2020-09-07,2020-09-07,integrated|core-libs|security
8252374,57,8252374: Add a new factory method to concatenate a sequence of BodyPublisher instances into a single publisher.,dfuch,2020-09-07,2020-10-12,integrated|net
8252868,58,8252868: Clean up unused function from G1MMUTracker,kstefanj,2020-09-07,2020-09-08,integrated|hotspot-gc
8252627,59,8252627: Make it safe for JFR thread to read threadObj,fisk,2020-09-07,2020-09-07,integrated|hotspot
8252871,60,8252871: fatal error: must own lock JvmtiThreadState_lock,robehn,2020-09-07,2020-09-08,integrated|serviceability|hotspot
8252847,61,8252847: Optimize primitive arrayCopy stubs using AVX-512 masked instructions,jatin-bhateja,2020-09-07,2020-10-10,integrated|hotspot|core-libs|hotspot-compiler
8252658,62,8252658: G1: Do not consider G1HeapWastePercent during region selection within a gc,walulyai,2020-09-07,2020-09-08,integrated|hotspot-gc
8251193,63,8251193: bin/idea.sh is generating wrong folder definitions for JVMCI modules,jerboaa,2020-09-07,2020-09-07,integrated
8252887,64,8252887: Zero VM is broken after JDK-8252661,DamonFool,2020-09-07,2020-09-08,integrated|hotspot-runtime
8250563,66,8250563: Add KVHashtable::add_if_absent,iklam,2020-09-08,2020-09-08,integrated|hotspot-runtime
8252104,67,8252104: parallel heap inspection for ShenandoahHeap,linzang,2020-09-08,2020-09-21,integrated|serviceability|hotspot-gc|shenandoah
8252853,68,8252853: AArch64: gc/shenandoah/TestVerifyJCStress.java fails intermittently with C1,nick-arm,2020-09-08,2020-09-08,integrated|hotspot-gc|shenandoah
8252889,69,8252889: Obsolete -XX:+InsertMemBarAfterArraycopy,TobiHartmann,2020-09-08,2020-09-10,integrated|hotspot
8252897,70,8252897: Minor .jcheck/conf update,rwestberg,2020-09-08,2020-09-08,integrated|build
8252721,72,8252721: Nested classes in Swing APIs rely on default constructors,prsadhuk,2020-09-08,2020-09-18,integrated|swing
8252916,75,8252916: Newline in object field values list of ScopeDesc should be removed,TobiHartmann,2020-09-08,2020-09-09,integrated|hotspot-compiler
8252898,77,8252898: remove bulk registration of JFR CompilerPhaseType names,dougxc,2020-09-08,2020-09-14,integrated|hotspot|hotspot-compiler
8252830,79,8252830: Correct missing javadoc comments in java.rmi module,RogerRiggs,2020-09-08,2020-09-10,integrated|core-libs
8244778,80,8244778: Archive full module graph in CDS,iklam,2020-09-08,2020-09-13,integrated|hotspot-runtime|core-libs
8251496,81,8251496: Fix doclint warnings in jdk.net.httpserver,pconcannon,2020-09-08,2020-09-22,integrated|net
8243208,82,8243208: Clean up JVMFlag implementation,iklam,2020-09-08,2020-09-11,integrated|hotspot|shenandoah
8249625,83,8249625: cleanup unused SkippedException in the tests under cds/appcds/dynamicArchive/methodHandles,calvinccheung,2020-09-08,2020-09-08,integrated|hotspot-runtime
7183828,85,7183828: Invalid Image Variant when using anything other than BufferedImage,mrserb,2020-09-08,2020-09-10,integrated|2d|awt
8171303,86,8171303: sun/java2d/pipe/InterpolationQualityTest.java fails on Windows & Linux,mrserb,2020-09-08,2020-09-10,integrated|2d
8157729,87,8157729: examples in LinkedHashMap and LinkedHashSet class doc use raw types,stuart-marks,2020-09-08,2020-09-09,integrated|core-libs
8250217,88,8250217: com.sun.tools.javac.api.JavacTaskImpl swallows compiler exceptions potentially producing false positive test results,vicente-romero-oracle,2020-09-08,2020-09-09,integrated|compiler
8027545,90,8027545: Improve object array chunking test in G1's copy_to_survivor_space,kimbarrett,2020-09-09,2020-09-15,integrated|hotspot|hotspot-gc
8252957,91,8252957: Wrong comment in CgroupV1Subsystem::cpu_quota,jerboaa,2020-09-09,2020-09-09,integrated|hotspot-runtime
8242451,93,8242451: ensure semantics of non-capturing lambdas are preserved independent of execution mode,gilles-duboscq,2020-09-09,2020-09-25,integrated|core-libs|hotspot-compiler|compiler
8251397,94,8251397: NPE on ClassValue.ClassValueMap.cacheArray,galderz,2020-09-09,2020-09-17,integrated|core-libs|test-request
8252537,95,8252537: Updated @exception with @throws,Vipin-Sharma,2020-09-09,2020-10-02,integrated|serviceability|core-libs
8252919,96,8252919: JDK built with --enable-cds=no fails with NoClassDefFoundError,mlchung,2020-09-09,2020-09-10,integrated|core-libs
8252114,97,8252114: Windows-AArch64: Enable and test ZGC and ShenandoahGC,mo-beck,2020-09-09,2020-09-22,integrated|build|hotspot-gc
8252980,98,8252980: comment only changes extracted from JDK-8247281,dcubed-ojdk,2020-09-09,2020-09-09,integrated|hotspot-runtime
8206311,99,"8206311: Add docs-javase, docs-reference to CI build",erikj79,2020-09-09,2020-10-21,integrated|build
8251495,100,8251495: Remove the implNote in the DOM package description added by JDK-8249643,JoeWang-Java,2020-09-09,2020-09-15,integrated|core-libs
8242559,101,"8242559: Clean the ""libawt_xawt"" library from code for headless mode",mrserb,2020-09-09,2020-10-23,integrated|awt
8172366,102,8172366: Support SHA-3 based signatures,valeriepeng,2020-09-10,2020-09-15,integrated|security
8252846,105,"8252846: Fix ppc/s390 after ""8231441: AArch64: Initial SVE backend su…",GoeLin,2020-09-10,2020-09-10,integrated|hotspot-compiler
8252494,106,8252494: C2: TypeAryPtr::cast_to_autobox_cache does not use ptr_type,robcasloz,2020-09-10,2020-09-11,integrated|hotspot-compiler
8252995,107,8252995: Non-PCH builds broken by JDK-8250961,kimbarrett,2020-09-10,2020-09-10,integrated|hotspot-gc
8249676,108,8249676:  [REDO] G1 incorrectly limiting young gen size when using the reserve can result in repeated full gcs,tschatzl,2020-09-10,2020-09-15,integrated|hotspot-gc
8253002,109,8253002: Remove the unused SafePointNode::_oop_map field,JornVernee,2020-09-10,2020-09-15,integrated|hotspot-compiler
8253008,111,8253008: Remove develop flags TraceLongCompiles/LongCompileThreshold,robehn,2020-09-10,2020-09-11,integrated|hotspot-runtime
8229186,112,8229186: Improve error messages for TestStringIntrinsics failures,lepestock,2020-09-10,2020-10-09,integrated|core-libs|hotspot-compiler
8253026,113,8253026: Remove dummy call to gc alot from VM Thread,robehn,2020-09-10,2020-09-11,integrated|hotspot-runtime
8252981,114,8252981: ObjectMonitor::object() cleanup changes extracted from JDK-8247281,dcubed-ojdk,2020-09-10,2020-09-11,integrated|hotspot-runtime
8227745,119,8227745: Enable Escape Analysis for Better Performance in the Presence of JVMTI Agents,reinrich,2020-09-10,2020-10-20,integrated|serviceability|hotspot|test-request
8253030,120,8253030: ZGC: Change ZMarkCompleteTimeout unit to microseconds,pliden,2020-09-10,2020-09-14,integrated|hotspot-gc
8252070,121,8252070: Some platform-specific BLIT optimizations are not effective,mrserb,2020-09-10,2020-09-20,integrated|2d
8236142,122,8236142: DocTrees should provide getCharacters(EntityTree) ,jonathan-gibbons,2020-09-10,2020-09-11,integrated|javadoc|compiler
8253033,123,8253033: CheckUnhandledOops check fails in ThreadSnapshot::initialize…,lmesnik,2020-09-10,2020-09-11,integrated|serviceability|hotspot-runtime
8252933,124,8252933: com.sun.tools.jdi.ObjectReferenceImpl#validateAssignment always requests referenceType,datior,2020-09-11,2020-09-15,integrated|serviceability
8250914,125,8250914: Matcher::stack_direction() is unused,robcasloz,2020-09-11,2020-09-11,integrated|hotspot-compiler
8247910,126,8247910: Improve alignment and power-of-2 utilities using C++14,kimbarrett,2020-09-11,2020-09-15,integrated|hotspot
8253029,127,8253029: [PPC64] Remove obsolete Power6 code,TheRealMDoerr,2020-09-11,2020-09-14,integrated|hotspot
8253048,129,"8253048: AArch64: When CallLeaf, no need to preserve callee-saved registers in caller",JoshuaZhuwj,2020-09-11,2020-09-24,integrated|hotspot|hotspot-compiler
8244706,130,"8244706: GZIP ""OS"" header flag hard-coded to 0 instead of 255 (RFC 1952 non-compliance)",jaikiran,2020-09-11,2020-09-16,integrated|core-libs
8253031,131,8253031: git jcheck complains about invalid tags in jdk repo after fix for JDK-8252844,kevinrushforth,2020-09-11,2020-09-11,integrated|build
8253060,132,8253060: remove test/hotspot/jtreg/test_env.sh,iignatev,2020-09-11,2020-09-11,integrated|hotspot
8252712,133,JDK-8252712: move doclint to jdk.javadoc module,jonathan-gibbons,2020-09-11,2020-09-23,integrated|javadoc|compiler
8252689,134,8252689: Classes are loaded from jrt:/java.base even when CDS is used,yminqi,2020-09-11,2020-09-14,integrated|hotspot-runtime
8247281,135,8247281: migrate ObjectMonitor::_object to OopStorage,dcubed-ojdk,2020-09-11,2020-09-21,integrated|serviceability|hotspot-runtime|hotspot-gc|shenandoah
8248186,136,8248186: Move CDS C++ vtable code to cppVtables.cpp,iklam,2020-09-11,2020-09-13,integrated|hotspot-runtime
