bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
8346014,1,8346014: Bump version numbers for 24.0.1,robm-openjdk,2024-12-11,2024-12-11,integrated,,,0,"irisclark,kevinrushforth"
8345684,4,8345684: OperatingSystemMXBean.getSystemCpuLoad() throws NPE,fmeum,2024-12-16,2025-01-08,integrated|backport|clean,,,23,
8346688,5,8346688: GenShen: Missing metadata trigger log message,earthling-amzn,2024-12-20,2024-12-23,integrated|backport|clean,Amazon,US,3,ysramakrishna
8346690,6,8346690: Shenandoah: Fix log message for end of GC usage report,earthling-amzn,2024-12-20,2024-12-23,integrated|backport|clean,Amazon,US,3,ysramakrishna
8346713,8,8346713: [testsuite] NeverActAsServerClassMachine breaks TestPLABAdaptToMinTLABSize.java TestPinnedHumongousFragmentation.java TestPinnedObjectContents.java,jankratochvil,2024-12-21,2025-01-14,integrated|backport|clean,Azul,,24,
8346712,10,8346712: Remove com/sun/net/httpserver/TcpNoDelayNotRequired.java test,MBaesken,2024-12-30,2025-01-07,integrated|backport|clean,SAP,DE,8,
8343224,11,8343224: print/Dialog/PaperSizeError.java fails with MediaSizeName is not A4: A4,mrserb,2025-01-02,2025-03-12,integrated|backport|clean,Oracle,RU,69,
8346324,12,8346324: javax/swing/JScrollBar/4865918/bug4865918.java fails in CI,mrserb,2025-01-04,2025-01-29,integrated|backport|clean,Oracle,RU,25,
8346239,13,8346239: Improve memory efficiency of JimageDiffGenerator,jerboaa,2025-01-08,2025-01-13,integrated|backport|clean,Red Hat,CA,5,
8346887,14,8346887: DrawFocusRect() may cause an assertion failure,satyenme,2025-01-09,2025-01-13,integrated|backport|clean,Amazon,,4,
8346868,15,8346868: RISC-V: compiler/sharedstubs tests fail after JDK-8332689,RealFYang,2025-01-10,2025-01-11,integrated|backport|clean,Huawei,CN,1,
8346082,16,8346082: Output JVMTI agent information in hserr files,MBaesken,2025-01-10,2025-01-13,integrated|backport|clean,SAP,DE,3,
8211851,17,8211851: (ch) java/nio/channels/AsynchronousSocketChannel/StressLoopback.java times out (aix),varada1110,2025-01-14,2025-01-27,integrated|backport|clean,,,13,
8347124,18,8347124: Clean tests with --enable-linkable-runtime,jerboaa,2025-01-14,2025-01-16,integrated|backport|clean,Red Hat,CA,2,
8345614,20,8345614: Improve AnnotationFormatError message for duplicate annotation interfaces,liach,2025-01-16,2025-01-22,integrated|backport|clean,Oracle,US,6,
