bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
8231735,2,8231735: gradle checkrepo is obsolete and doesn't work with git,kevinrushforth,2019-10-02,2019-10-03,integrated,Oracle,,1,aghaisas
8231590,3,8231590: Update location of jfx repo to GitHub in third-party legal files,kevinrushforth,2019-10-02,2019-10-03,integrated,Oracle,,1,sashamatveev
8225571,4,8225571: Port DND source to use GTK instead of GDK,tsayao,2019-10-02,2020-01-02,integrated,,,92,"pankaj-bansal,kevinrushforth"
8087980,5,8087980: Add property to disable Monocle cursor,dellgreen,2019-10-03,2020-01-02,integrated,,,91,"jgneff,johanvos"
8207957,6,8207957: TableSkinUtils should not contain actual code implementation,Maxoudela,2019-10-03,2019-12-18,integrated,,,76,kleopatra
8231854,7,8231854: Change Mercurial to git in various README files,kevinrushforth,2019-10-03,2019-10-04,integrated,Oracle,,1,guruhb
8231870,8,8231870: CrossLibs script for armv6hf toolchain download fails,dellgreen,2019-10-04,2019-10-09,integrated,,,5,johanvos
8226754,9,8226754: FX build fails using gradle 5.6+ or 6,kevinrushforth,2019-10-08,2019-10-14,integrated,Oracle,,6,johanvos
8218640,10,8218640: Update ICU4C to version 64.2,arun-joseph,2019-10-09,2019-10-15,integrated,,,6,"guruhb,kevinrushforth,johanvos"
8232158,13,8232158: [macOS] Fallback to command line tools if xcode is missing,arajkumar,2019-10-11,2019-10-23,integrated,,,12,"kevinrushforth,johanvos"
8211308,14,8211308: Support HTTP/2 in WebView,arajkumar,2019-10-11,2019-12-03,integrated,,,53,"guruhb,kevinrushforth"
8207759,15,8207759: VK_ENTER not consumed by TextField when default Button exists,kleopatra,2019-10-16,2019-12-17,integrated,Independent,,62,"kevinrushforth,aghaisas"
8232524,17,8232524: SynchronizedObservableMap cannot be be protected for copying/iterating,effad,2019-10-18,2019-12-05,integrated,,,48,"arapte,kevinrushforth"
8232522,18,"8232522: FX: Update copyright year in docs, readme files to 2020",kevinrushforth,2019-10-19,2019-10-21,integrated,Oracle,,2,arapte
