bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,1,6631: Updating version to 8.0.0,thegreystone,2019-11-14,2019-11-14,integrated,Datadog,,0,"aptmac,Gunde"
,2,6604: Adding EA splash for JMC 8,thegreystone,2019-11-14,2019-11-15,integrated,Datadog,,1,Gunde
,3,6632: Tighten up english rule messages,dbenamydd,2019-11-15,2019-11-22,integrated,,,7,"thegreystone,Gunde"
,5,6636: Adding spotless for core,thegreystone,2019-11-15,2019-11-22,integrated,Datadog,,7,Gunde
,6,6617: Make return value its own element,jessyec-s,2019-11-22,2019-12-05,integrated,,,13,thegreystone
,7,6642: Ignoring dependency reduced poms and js-libraries,thegreystone,2019-11-23,2019-11-24,integrated,Datadog,,1,Gunde
,8,6639: Adding spotless for the rest of the java code,thegreystone,2019-11-27,2019-11-28,integrated,Datadog,,1,Gunde
,9,6639: Fixing whitespace error on Mac,thegreystone,2019-11-28,2019-11-28,integrated,Datadog,,0,Gunde
,11,6650: Autoboxing rule breaks on allocation outside TLAB,Gunde,2019-12-03,2019-12-03,integrated,,,0,thegreystone
,12,5721: Reintroduce the Percentage column,dmnm,2019-12-07,2020-01-13,integrated,,,37,Gunde
,13,6651: Exposing the magic bytes for the compressed formats supported,thegreystone,2019-12-10,2019-12-11,integrated,Datadog,,1,"jiekang,Gunde"
,15,5660: Lazy initialize timestamp unit description,Gunde,2019-12-11,2019-12-11,integrated,,,0,thegreystone
,16,6652: Relaxing issue number verification,thegreystone,2019-12-11,2019-12-11,integrated,Datadog,,0,"rwestberg,Gunde"
,17,6655: Ignoring test files,thegreystone,2019-12-11,2019-12-12,integrated,Datadog,,1,Gunde
,18,6651: Securing exposed public static array,thegreystone,2019-12-11,2019-12-12,integrated,Datadog,,1,egahlin
,19,6554: Support JFR in OpenJDK 8,thegreystone,2019-12-14,2019-12-16,integrated,Datadog,,2,Gunde
,20,6656: Allow capturing field values with path syntax,tabjy,2019-12-17,2020-02-13,integrated,,,58,thegreystone
,21,6657: Add allocation pressure column to Memory and TLAB views,jiekang,2019-12-18,2020-03-04,integrated,,,77,thegreystone
,22,6583: Add filter and search table actions to EventBrowser page,jessyec-s,2019-12-18,2019-12-24,integrated,,,6,thegreystone
,23,6658: Remove unnecessary storing of pre-instrumented bytecode,jessyec-s,2019-12-19,2020-01-10,integrated,,,22,thegreystone
,24,6662: Updating to Eclipse 2019-12 (4.14),thegreystone,2019-12-23,2019-12-29,integrated,Datadog,,6,"jiekang,Gunde"
