bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,8,Enable 1-step workflow with Shenandoah GC,shipilev,2024-07-22,2024-10-09,integrated,Amazon,US,79,iklam
,13,Fix SCCache closing races,shipilev,2024-09-04,2024-09-05,integrated,Amazon,US,1,vnkozlov
,14,"Mark Leyden tests that require artifacts with ""external-dep""",shipilev,2024-09-05,2024-09-10,integrated,Amazon,US,5,iklam
,16,Rework rich PrintCompilation logs,shipilev,2024-09-06,2024-09-06,integrated,Amazon,US,0,vnkozlov
,17,Prefer to take AOT method from the SC queue faster,shipilev,2024-09-06,2024-09-08,integrated,Amazon,US,2,vnkozlov
,18,Reformat internal profiling stats,shipilev,2024-09-09,2024-09-16,integrated,Amazon,US,7,vnkozlov
8335358,21,8335358: [premain] Explore alternative ways to trigger the end of training run,macarte,2024-09-11,2024-11-23,integrated,,,73,iklam
,22,Method name AOTClassInitializer::has_non_default_static_fields  should be has_default_static_fields,ashu-mehra,2024-09-17,2024-09-18,integrated,IBM,CA,1,iklam
8340559,23,8340559: [premain] java process crash with -XX:+PrintTrainingInfo,dhanalla,2024-09-20,2024-09-23,integrated,,,3,veresov
,24,FileMapInfo::write_bitmap_region bug after premain merge,shipilev,2024-09-27,2024-09-27,integrated,Amazon,US,0,iklam
,25,Save/load i2c2i adapters,ashu-mehra,2024-10-23,2025-02-05,integrated,IBM,CA,105,"iklam,vnkozlov"
,27,Save/load nmethod without going through CodeBuffer,ashu-mehra,2024-12-11,2025-03-31,integrated,IBM,CA,110,"vnkozlov,adinn"
8348858,28,8348858: [leyden] Bump the default code buffer sizes to store more generated code,shipilev,2025-01-28,2025-01-31,integrated,Amazon,US,3,vnkozlov
8348957,29,8348957: [leyden] Excess PrintCompilation printing on compile task start,shipilev,2025-01-29,2025-01-29,integrated,Amazon,US,0,"vnkozlov,adinn"
8348960,30,8348960: [leyden] compiler/c1/TestConcurrentPatching.java is stuck,shipilev,2025-01-29,2025-02-04,integrated,Amazon,US,6,"iwanowww,adinn"
8349181,31,8349181: [leyden] tools/sincechecker/modules/java.base/JavaBaseCheckSince.java fails,shipilev,2025-02-01,2025-02-06,integrated,Amazon,US,5,iklam
8349457,32,8349457: [leyden] Workaround Leyden problems with -XX:-TieredCompilation,shipilev,2025-02-05,2025-02-11,integrated,Amazon,US,6,"iwanowww,ashu-mehra,veresov"
8349539,33,8349539: [leyden] Allow dumping nmethods that reference archived hidden klasses,shipilev,2025-02-06,2025-02-11,integrated,Amazon,US,5,"iwanowww,vnkozlov"
8349713,34,8349713: [leyden] Memory map the cached code file,shipilev,2025-02-10,2025-02-12,integrated,Amazon,US,2,"iklam,vnkozlov"
8349717,35,8349717: [leyden] compiler/inlining/LateInlinePrinting.java is failing,shipilev,2025-02-10,2025-02-10,integrated,Amazon,US,0,vnkozlov
8349722,36,8349722: [leyden] Option to block until preloading is complete,shipilev,2025-02-10,2025-02-11,integrated,Amazon,US,1,"iwanowww,vnkozlov"
8349748,37,8349748: [leyden] ciEnv::register_method should lock the correct queue lock,shipilev,2025-02-10,2025-02-11,integrated,Amazon,US,1,"iwanowww,vnkozlov"
8349814,38,8349814: [leyden] Reduce uncommon traps in preload code,shipilev,2025-02-11,2025-04-02,integrated,Amazon,US,50,"iwanowww,vnkozlov"
,39,Store AOT code in cached code region of AOT cache,ashu-mehra,2025-02-11,2025-02-13,integrated,IBM,CA,2,"iklam,vnkozlov"
8349905,40,8349905: [leyden] Make SCCache depend on CDS build feature,shipilev,2025-02-12,2025-02-12,integrated,Amazon,US,0,vnkozlov
8341587,41,8341587: [premain] Support Soft/Weak Reference in AOT cache,macarte,2025-02-12,2025-02-24,integrated,,,12,iklam
,42,Fix SCCache stats logged on exit,ashu-mehra,2025-02-14,2025-02-21,integrated,IBM,CA,7,vnkozlov
