bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
8264311,1,8264311: Heap object statistics,rkennke,2021-05-05,2021-05-10,integrated,Red Hat,CH,5,shipilev
,2,Back out hashcode trimming,rkennke,2021-05-10,2021-05-10,integrated,Red Hat,CH,0,shipilev
,3,Trim identity-hashcode to 25bit,rkennke,2021-05-10,2021-05-11,integrated,Red Hat,CH,1,shipilev
,4,Disable biased locking altogether,rkennke,2021-05-11,2021-05-12,integrated,Red Hat,CH,1,shipilev
,5,Enforce +UseCompressedClassPointers,rkennke,2021-05-17,2021-05-18,integrated,Red Hat,CH,1,shipilev
,7,Store (narrow) klass in object header,rkennke,2021-05-21,2021-05-26,integrated,Red Hat,CH,5,shipilev
,8,Implement sliding forwarding scheme that preserves upper header bits,rkennke,2021-06-10,2021-07-09,integrated,Red Hat,CH,29,shipilev
,10,Implement self-forwarding of objects that preserves header bits,rkennke,2021-06-28,2021-07-09,integrated,Red Hat,CH,11,shipilev
,12,Read class from object header,rkennke,2021-07-13,2021-09-16,integrated,Red Hat,CH,65,shipilev
,13,Smaller class pointers,tstuefe,2021-09-17,2021-12-16,integrated,Red Hat,DE,90,rkennke
,15,Load Klass* from header in interpreter (x86),rkennke,2021-09-27,2021-10-12,integrated,Red Hat,CH,15,shipilev
,16,Resolve displaced header in CDS dumping,rkennke,2021-10-07,2021-10-12,integrated,Red Hat,CH,5,shipilev
,17,Fix use of Klass* in GC JFR reporting,rkennke,2021-10-12,2021-10-12,integrated,Red Hat,CH,0,shipilev
,19,Fix some tests to work with +UseCompressedClassPointers,rkennke,2021-10-12,2021-10-13,integrated,Red Hat,CH,1,shipilev
,20,"Load Klass from header, C1",rkennke,2021-10-12,2022-01-12,integrated,Red Hat,CH,92,shipilev
,21,Preserve Klass* in leak profiler,rkennke,2021-10-13,2021-10-19,integrated,Red Hat,CH,6,shipilev
,22,Jump/stub length failures in x86_64 release builds,shipilev,2021-10-14,2021-10-14,integrated,Amazon,US,0,rkennke
,23,Fix self-forwarding on 32 bit platforms,rkennke,2021-10-15,2021-10-15,integrated,Red Hat,CH,0,shipilev
,24,Fix windows build,rkennke,2021-10-18,2021-10-19,integrated,Red Hat,CH,1,shipilev
,25,Load Klass* without causing monitor inflation,rkennke,2021-10-19,2021-11-18,integrated,Red Hat,CH,30,shipilev
,26,aarch64: init Klass* in markword in C1 & template interpreter,tstuefe,2021-10-22,2021-10-23,integrated,Red Hat,DE,1,rkennke
,27,Rendezvous GC threads under STS for monitor deflation,rkennke,2021-10-26,2021-10-28,integrated,Red Hat,CH,2,"shipilev,fisk"
,28,Deflate monitors of dead objects before they become unreachable,rkennke,2021-11-17,2021-12-01,integrated,Red Hat,CH,14,shipilev
,29,"Load Klass* from header, C2 implementation",rkennke,2021-11-25,2022-02-16,integrated,Red Hat,CH,83,shipilev
,31,Remaining changes to load_[n]klass implementation in x86 assembly,rkennke,2021-12-14,2022-02-04,integrated,Red Hat,CH,52,shipilev
,32,Implement Shenandoah support,rkennke,2021-12-17,2022-05-02,integrated,Red Hat,CH,136,zhengyu123
,33,Fix 32-bit Zero builds,shipilev,2022-01-06,2022-01-10,integrated,Amazon,US,4,rkennke
,34,Fix loading Klass* in C1 on AArch64,rkennke,2022-01-18,2022-01-24,integrated,Red Hat,CH,6,shipilev
,35,"Load narrowKlass from runtime, decode in generated code",rkennke,2022-01-25,2022-01-27,integrated,Red Hat,CH,2,shipilev
,36,"Load narrowKlass from header, AArch64 assembler implementation",rkennke,2022-01-26,2022-02-02,integrated,Red Hat,CH,7,
,38,Fix CDS LotsOfClasses tests on 32-bit,tstuefe,2022-02-04,2022-02-04,integrated,Red Hat,DE,0,rkennke
,40,Eliminate Klass* word,rkennke,2022-02-17,2022-02-23,integrated,Red Hat,CH,6,shipilev
,41,Relax array elements alignment,rkennke,2022-02-23,2022-04-29,integrated,Red Hat,CH,65,tstuefe
,44,Implement ZGC support,rkennke,2022-03-08,2022-03-17,integrated,Red Hat,CH,9,fisk
,46,Simplify stable_mark() routine,rkennke,2022-03-30,2022-04-14,integrated,Red Hat,CH,15,"tstuefe,zhengyu123"
,53,Merge jdk,rkennke,2022-08-02,2022-08-08,integrated,Red Hat,CH,6,tstuefe
,55,Merge jdk,rkennke,2022-10-05,2022-10-06,integrated,Red Hat,CH,1,tstuefe
,56,Replace stack-locking with fast-locking,rkennke,2022-10-06,2022-10-18,integrated,Red Hat,CH,12,"shipilev,tstuefe"
8299594,60,"8299594: [Lilliput] Revert ""Replace stack-locking with fast-locking""",rkennke,2023-01-04,2023-01-04,integrated,Red Hat,CH,0,shipilev
,61,Merge jdk:jdk-21+4,rkennke,2023-01-09,2023-01-10,integrated,Red Hat,CH,1,shipilev
8300440,62,8300440: [Lilliput] Implement alternative fast-locking scheme,rkennke,2023-01-18,2023-01-18,integrated,Red Hat,CH,0,shipilev
8300573,63,8300573: [Lilliput] Properly set ZF on anon-check path; avoid some conditional branches,rkennke,2023-01-18,2023-01-23,integrated,Red Hat,CH,5,shipilev
8300733,64,8300733: [Lilliput] Enable fast-locking for Lilliput,rkennke,2023-01-20,2023-01-23,integrated,Red Hat,CH,3,shipilev
