bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,1,Initial scoped locals implementation,theRealAph,2020-02-10,2020-02-14,integrated,Red Hat,GB,4,
,6,Replace fibers by virtual threads in the test summary,lmesnik,2020-03-18,2020-03-23,integrated|sponsor,Oracle,US,5,
8241331,8,8241331: Implement basic support of test execution using vthread wrapper ,lmesnik,2020-03-23,2020-03-23,integrated,Oracle,US,0,
8240914,9,"8240914: java_lang_Throwable::fill_in_stack_trace should use Handler for ""cont""",lmesnik,2020-03-23,2020-03-24,integrated,Oracle,US,1,
,11,Fixes of vmTestbase tests for loom ,lmesnik,2020-04-07,2020-04-09,integrated,Oracle,US,2,
,12,JVMTI GetThreadInfo fixed to return NULL when Thread is TERMINATED,lmesnik,2020-04-08,2020-04-08,integrated,Oracle,US,0,
,14,ZGC support for loom,fisk,2020-07-28,2020-07-29,integrated,Oracle,SE,1,
8250887,15,8250887: Crash adjusting weak references during GC,fisk,2020-08-05,2020-08-05,integrated,Oracle,SE,0,
,20,OSX build fails with Xcode 12 due to missing parantheses around sizeo…,kabutz,2020-10-14,2020-10-14,integrated,,,0,
,21,Fix movptr with movl in ContinuationEntry fill/cleanup,huishi-hs,2020-10-27,2020-10-27,integrated,,,0,
,23,Add test case for detecting the bug where singlestep events are delivered for a vthread when enabled on the cthread,plummercj,2020-12-02,2020-12-02,integrated,Oracle,US,0,
,26,"Scope locals, Mark II.",theRealAph,2021-01-19,2021-01-21,integrated,Red Hat,GB,2,
,29,Implement ShenandoahHeap::requires_barriers(),rkennke,2021-02-12,2021-02-12,integrated,Red Hat,CH,0,pron
,30,Adjustments to derived-pointer handling to make it work with Shenandoah GC,rkennke,2021-02-12,2021-02-12,integrated,Red Hat,CH,0,pron
,31,Fix merge error in ShenandoahFullGC,rkennke,2021-02-12,2021-02-15,integrated,Red Hat,CH,3,pron
,34,Scope locals next,theRealAph,2021-03-12,2021-03-15,integrated,Red Hat,GB,3,
,35,update microbenchmarks,kuksenko,2021-04-15,2021-04-16,integrated,,,1,
,36,Fix typo in HotSpotDiagnostic,octylFractal,2021-04-20,2021-04-21,integrated,,,1,AlanBateman
,37,Whitespaces,coleenp,2021-04-29,2021-04-30,integrated,Oracle,US,1,tstuefe
,38,Loom support for RedefineClasses,coleenp,2021-05-04,2021-05-05,integrated,Oracle,US,1,
,39,Latest version of scope locals,theRealAph,2021-05-05,2021-05-05,integrated,Red Hat,GB,0,
,40,Replace BacktraceBuilder and allocation safepoints in async_get_stack_trace,coleenp,2021-05-05,2021-05-06,integrated,Oracle,US,1,sspitsyn
,41,Remove _keepalive WeakHandle remnants.,coleenp,2021-05-10,2021-05-10,integrated,Oracle,US,0,fisk
,46,Latest scope locals changes.,theRealAph,2021-06-09,2021-06-10,integrated,Red Hat,GB,1,
,47,Fix held_monitor_count calculation,huishi-hs,2021-06-12,2021-06-15,integrated,,,3,"rickard,pron"
,48,Loom preempt3,coleenp,2021-06-16,2021-06-24,integrated,Oracle,US,8,
,49,Fix linkage failure due to missing frame::oops_interpreted_do template instantiation,shipilev,2021-06-21,2021-06-22,integrated,Amazon,US,1,
