bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
8237360,1,8237360: Add tests that test binding recipe generation directly,JornVernee,2020-02-04,2020-02-05,sponsor|integrated,Oracle,NL,1,mcimadamore
,2,Update jcheck conf,JornVernee,2020-02-04,2020-02-04,integrated,Oracle,NL,0,"openjdk-bot,edvbld,mcimadamore"
8238494,4,8238494: Odd behavior when using VarHandle::toMethodHandle on a memory access handle,mcimadamore,2020-02-04,2020-02-05,integrated,Oracle,GB,1,JornVernee
8237360,5,8237360: Add tests that test binding recipe generation directly,JornVernee,2020-02-05,2020-02-05,integrated,Oracle,NL,0,mcimadamore
8238549,6,8238549: Add explicit cast to correct implementation type in VarHandle implementation methods,mcimadamore,2020-02-06,2020-02-06,integrated,Oracle,GB,0,JornVernee
8238556,7,8238556: jextract command line option cleanup,sundararajana,2020-02-06,2020-02-06,integrated,Oracle,,0,mcimadamore
8238320,8,8238320: What is the alignment of padding layouts?,mcimadamore,2020-02-06,2020-02-07,integrated,Oracle,GB,1,"JornVernee,PaulSandoz"
,10,Merge openjdk/panama-foreign:master,mcimadamore,2020-02-07,2020-02-07,integrated,Oracle,GB,0,JornVernee
8237359,12,8237359: Clean up Binding,JornVernee,2020-02-10,2020-02-10,integrated,Oracle,NL,0,mcimadamore
8238837,13,8238837: AArch64: TestUpcall failures after JDK-8237358,nick-arm,2020-02-11,2020-02-11,integrated,ARM,GB,0,JornVernee
,14,Merge openjdk/panama-foreign:foreign-memaccess,JornVernee,2020-02-11,2020-02-11,integrated,Oracle,NL,0,mcimadamore
8238226,15,8238226: Revisit FunctionDescriptor,JornVernee,2020-02-11,2020-02-12,integrated,Oracle,NL,1,mcimadamore
8238712,16,8238712: ConcurrentModificationException thrown when forward reference to record type in function prototype,slowhog,2020-02-11,2020-02-12,integrated,Oracle,US,1,mcimadamore
8238951,17,8238951: Update jextract after JDK-8238226,JornVernee,2020-02-12,2020-02-12,integrated,Oracle,NL,0,mcimadamore
8238192,19,8238192: Reimplement MemoryAddress memory access handles on top of var handle combinators,mcimadamore,2020-02-13,2020-02-13,integrated,Oracle,GB,0,JornVernee
8239079,20,8239079: Add a benchmark for concurrent use of memory access API,mcimadamore,2020-02-14,2020-02-14,integrated,Oracle,GB,0,"JornVernee,PaulSandoz"
8239128,21,8239128: Macro defines constant pointers can crash VM via jextract API,slowhog,2020-02-16,2020-02-21,integrated,Oracle,US,5,mcimadamore
8239345,24,8239345: need an enum for standard C types and a way to get a memory layout for those C types,sundararajana,2020-02-19,2020-02-20,integrated,Oracle,,1,"JornVernee,mcimadamore"
8238316,25,8238316: jextract emits a C_BOOL when source says char,sundararajana,2020-02-21,2020-02-24,integrated,Oracle,,3,"JornVernee,mcimadamore"
8239784,26,8239784: Circular initialization causes C_XXX constants to be null,JornVernee,2020-02-21,2020-02-21,integrated,Oracle,NL,0,sundararajana
,27,Use Windows and Aarch64 LongDouble constants in LayoutUtils,JornVernee,2020-02-24,2020-02-24,integrated,Oracle,NL,0,mcimadamore
8239491,28,8239491: Missing CursorKind and TypeKind constants for LLVM 9,JornVernee,2020-02-24,2020-02-25,integrated,Oracle,NL,1,mcimadamore
8239918,30,8239918: jextract generates uncompilable code for no argument C function,sundararajana,2020-02-25,2020-02-25,integrated,Oracle,,0,mcimadamore
8239809,33,8239809: Need API to access attributes,slowhog,2020-02-25,2020-02-27,integrated,Oracle,US,2,mcimadamore
8240173,34,8240173: Confusing overflow error when trying to dereference a nothing segment,mcimadamore,2020-02-27,2020-02-27,integrated,Oracle,GB,0,"JornVernee,PaulSandoz"
8240181,35,8240181: jextract does not generate constants for anonymous enum fields,sundararajana,2020-02-27,2020-02-28,integrated,Oracle,,1,mcimadamore
8239490,36,"8239490: jextract throws ""No matching declaration found for bitfield"" because wrong bitfield content is found",mcimadamore,2020-02-28,2020-03-02,integrated|build|core-libs,Oracle,GB,3,sundararajana
8240300,37,8240300: jextract produces non compilable code with repeated declarations,sundararajana,2020-03-02,2020-03-03,integrated|core-libs,Oracle,,1,"slowhog,mcimadamore"
8240372,38,8240372: TypeTranslator can not handle plain function types,JornVernee,2020-03-03,2020-03-03,integrated,Oracle,NL,0,sundararajana
8240602,39,8240602: port more tests from old jextract tests,sundararajana,2020-03-05,2020-03-05,integrated,Oracle,,0,JornVernee
,40,Improve jextract error reporting,JornVernee,2020-03-05,2020-03-06,integrated,Oracle,NL,1,sundararajana
8240657,41,"8240657: when Java keywords are used as identifiers in C header, jextract generates non-compilable java code",sundararajana,2020-03-06,2020-03-06,integrated,Oracle,,0,JornVernee
8240752,42,8240752: jextract generates non-compilable code for special floating point values,sundararajana,2020-03-09,2020-03-09,integrated,Oracle,,0,slowhog
8240853,43,8240853: Declaration.union() method sets wrong kind for the declaration object created,sundararajana,2020-03-11,2020-03-11,integrated,Oracle,,0,mcimadamore
8240811,44,8240811: jextract generates non-compilable code for name collision between a struct and a global variable,sundararajana,2020-03-11,2020-03-11,integrated,Oracle,,0,mcimadamore
8240874,45,8240874: Add finer-grained access control for memory segments,mcimadamore,2020-03-11,2020-03-12,integrated,Oracle,GB,1,"JornVernee,PaulSandoz"
,50,Merge openjdk/panama-foreign:foreign-memaccess,mcimadamore,2020-03-13,2020-03-13,integrated,Oracle,GB,0,JornVernee
,51,"Update the README with Panama specific information, and information about the repo",JornVernee,2020-03-13,2020-03-13,integrated,Oracle,NL,0,mcimadamore
8241011,52,8241011: Internal access modes should be filtered,mcimadamore,2020-03-13,2020-03-13,integrated,Oracle,GB,0,JornVernee
8241017,53,"8241017: Enhance AllocationScope to support ""unbounded"" mode",mcimadamore,2020-03-13,2020-03-16,integrated,Oracle,GB,3,"JornVernee,sundararajana"
8241148,55,8241148: need a way to create MemorySegment with contents from java String and a way to read a C char* as java String,sundararajana,2020-03-18,2020-03-19,integrated,Oracle,,1,mcimadamore
8237585,56,8237585: Dismantle ForeignUnsafe,JornVernee,2020-03-19,2020-03-19,integrated,Oracle,NL,0,mcimadamore
8237585,57,8237585: Dismantle ForeignUnsafe (foreign-jextract part),JornVernee,2020-03-19,2020-03-19,integrated,Oracle,NL,0,sundararajana
8241309,58,8241309: foreign-abi branch has javadoc errors,mcimadamore,2020-03-19,2020-03-19,integrated,Oracle,GB,0,sundararajana
,59,Miscellaneous cleanups,JornVernee,2020-03-19,2020-03-19,integrated,Oracle,NL,0,slowhog
8241334,60,8241334: panama foreign-jextract branch fails to build,sundararajana,2020-03-20,2020-03-20,integrated,Oracle,,0,slowhog
8241349,61,8241349: initial version of panama_jextract.md,sundararajana,2020-03-20,2020-03-20,integrated,Oracle,,0,mcimadamore
8241442,62,8241442: jextract spuriously crashes,mcimadamore,2020-03-23,2020-03-23,integrated,Oracle,GB,0,sundararajana
8241504,64,8241504: Expose MemoryLayout annotations/attributes in the public API,JornVernee,2020-03-24,2020-03-26,integrated,Oracle,NL,2,mcimadamore
8237573,65,8237573: Add a basic call overhead benchmark,JornVernee,2020-03-25,2020-03-26,integrated,Oracle,NL,1,mcimadamore
8241650,66,8241650: jextract module should be mapped to application class loader,sundararajana,2020-03-26,2020-03-26,integrated,Oracle,,0,mcimadamore
,67,Backport 8237573 to foreign-abi,JornVernee,2020-03-26,2020-03-26,integrated,Oracle,NL,0,"mcimadamore,sundararajana"
8241504,69,8241504: Expose MemoryLayout annotations/attributes in the public API (foreign-jextract part),JornVernee,2020-03-26,2020-03-26,integrated,Oracle,NL,0,mcimadamore
8241712,70,8241712: AArch64: TestDowncall fails with IllegalArgumentException: No ABI attribute present,nick-arm,2020-03-27,2020-03-30,integrated,ARM,GB,3,JornVernee
8241772,71,JDK-8241772: MemorySegment should offer a spliterator,mcimadamore,2020-03-27,2020-03-30,integrated,Oracle,GB,3,PaulSandoz
8241816,72,8241816: foreign-abi and foreign-jextract panama branches fail to build and test,sundararajana,2020-03-30,2020-03-30,integrated,Oracle,,0,mcimadamore
8241849,73,JDK-8241849: Add unsafe way to create unconfined memory segment view,mcimadamore,2020-03-30,2020-03-30,integrated,Oracle,GB,0,sundararajana
8241866,75,JDK-8241866:Add API to reshape sequence layouts,mcimadamore,2020-03-30,2020-04-01,integrated,Oracle,GB,2,"JornVernee,PaulSandoz"
,76,Merge foreign-memaccess,mcimadamore,2020-03-30,2020-03-31,integrated,Oracle,GB,1,"JornVernee,sundararajana"
,77,Backport misc changes from foreign-abi,JornVernee,2020-03-31,2020-03-31,integrated,Oracle,NL,0,"PaulSandoz,mcimadamore"
8241925,78,"8241925: jextract should generate simple allocation, access API for C primitive types",sundararajana,2020-03-31,2020-04-01,integrated,Oracle,,1,"JornVernee,mcimadamore"
,80,Merge foreign-memaccess,JornVernee,2020-03-31,2020-03-31,integrated,Oracle,NL,0,
8241998,81,JDK-8241998: Revisit Foreign::ofNativeUnchecked,mcimadamore,2020-04-01,2020-04-02,integrated,Oracle,GB,1,sundararajana
8241994,82,8241994: Missing SystemABI.layoutFor mappings for LONG_DOUBLE,JornVernee,2020-04-01,2020-04-01,integrated,Oracle,NL,0,"mcimadamore,sundararajana"
,83,Add missing libclang dependencies to jib-profiles,JornVernee,2020-04-01,2020-04-01,integrated,Oracle,NL,0,slowhog
8242011,84,JDK-8242011: Add support for memory address combinator,mcimadamore,2020-04-02,2020-04-02,integrated,Oracle,GB,0,JornVernee
8242028,85,8242028: Remove C string to/from Java string utilities from Foreign class,sundararajana,2020-04-02,2020-04-02,integrated,Oracle,,0,mcimadamore
8242046,86,JDK-8242046: Add a predicate to determine if MemoryLayout is a padding layout,mcimadamore,2020-04-02,2020-04-02,integrated,Oracle,GB,0,JornVernee
8242048,88,JDK-8242048: Add API point to get raw long value out of a MemoryAddress,mcimadamore,2020-04-02,2020-04-02,integrated,Oracle,GB,0,"PaulSandoz,sundararajana"
,89,Merge foreign-memaccess,mcimadamore,2020-04-02,2020-04-02,integrated,Oracle,GB,0,JornVernee
8242051,90,JDK-8242051: Clarify difference between checked and unchecked addresses,mcimadamore,2020-04-02,2020-04-02,integrated,Oracle,GB,0,JornVernee
,91,Backport Foreign methods from foreign-abi back to foreign-memaccess,mcimadamore,2020-04-02,2020-04-02,integrated,Oracle,GB,0,slowhog
8242061,93,JDK-8242061: AllocationScope is too general,mcimadamore,2020-04-02,2020-04-03,integrated,Oracle,GB,1,JornVernee
,94,Merge foreign-memaccess,mcimadamore,2020-04-02,2020-04-03,integrated,Oracle,GB,1,
8242045,95,JDK-8242045: adjust foreign-jextract code for recent Foreign interface changes,mcimadamore,2020-04-03,2020-04-03,integrated,Oracle,GB,0,sundararajana
8242102,96,JDK-8242102: foreign-abi build is broken,mcimadamore,2020-04-03,2020-04-03,integrated,Oracle,GB,0,sundararajana
8242127,97,JDK-8242127: reorganize ABI-dependent layout constants,mcimadamore,2020-04-03,2020-04-06,integrated,Oracle,GB,3,"JornVernee,sundararajana"
,98,Fix javadoc in jdk.incubator.foreign.Foreign,mcimadamore,2020-04-06,2020-04-06,integrated,Oracle,GB,0,JornVernee
,99,"Revert ""JDK-8242127: reorganize ABI-dependent layout constants""",mcimadamore,2020-04-06,2020-04-06,integrated,Oracle,GB,0,"JornVernee,sundararajana"
,100,Tweak JextractToolRunner to use file helper routines in FileUtils library,mcimadamore,2020-04-06,2020-04-07,integrated,Oracle,GB,1,slowhog
8242253,101,JDK-8242253: Clarify bulk of addresses backed by same storage,PaulSandoz,2020-04-07,2020-04-07,integrated,Oracle,,0,mcimadamore
8239493,102,8239493: Add classfile generation to jextract,JornVernee,2020-04-07,2020-04-07,integrated,Oracle,NL,0,"mcimadamore,sundararajana"
8242276,103,8242276: tools/launcher/VersionCheck.java fails for jextract,JornVernee,2020-04-07,2020-04-07,integrated,Oracle,NL,0,mcimadamore
,104,Fix failing TestClassGeneration,JornVernee,2020-04-07,2020-04-07,integrated,Oracle,NL,0,sundararajana
8242288,105,8242288: Sample code has to be adjusted after recent changes in jextract generated code,sundararajana,2020-04-07,2020-04-07,integrated,Oracle,,0,JornVernee
8242376,106,8242376: update jextract samples to avoid --filter option,sundararajana,2020-04-08,2020-04-08,integrated,Oracle,,0,mcimadamore
,107,Add JMH test for loop over sliced segment,mcimadamore,2020-04-08,2020-04-08,integrated,Oracle,GB,0,JornVernee
8242465,108,8242465: jextract should skip variables and struct fields with types that cannot be handled ,sundararajana,2020-04-10,2020-04-10,integrated,Oracle,,0,mcimadamore
8242495,109,JDK-8242495: Restructure implementation of memory segments,mcimadamore,2020-04-10,2020-04-15,integrated,Oracle,GB,5,"JornVernee,PaulSandoz"
,111,Memory access implementation rewrite - post cleanup,mcimadamore,2020-04-15,2020-04-15,integrated,Oracle,GB,0,"JornVernee,PaulSandoz"
,112,Merge foreign-memaccess,openjdk-bot,2020-04-15,2020-04-16,integrated|failed-auto-merge,,,1,
