username,full_name,jdk_role,other_projects
aaivanov,Anton Ivanov,Author,
abaya,Anass Baya,Author,
abhiscxk,Abhishek Kumar,Reviewer,
abimpoudis,Aggelos Biboudis,Reviewer,amber: Author
abobrov,Anton Bobrov,Author,
aboldtch,Axel Boldt-Christmas,Reviewer,
acorn,Karen Kinnear,Reviewer,hotspot: Member
adev,Anupam Dev,Author,
adinn,Andrew Dinn,Reviewer,"aarch32-port: Committer, aarch64-port: Committer, crac: Committer, galahad: Committer, vulnerability: Member, hotspot: Member"
adityam,Aditya Mandaleeka,Author,
aefimov,Aleksei Efimov,Reviewer,net: Member
afarley,Adam Farley,Author,
aghaisas,Ajit Ghaisas,Reviewer,
ahayward,Alan Hayward,Author,
ahenrie,Alex Henrie,Author,
aivanov,Alexey Ivanov,Reviewer,client-libs: Member
aj,Anto J,Author,
akolarkunnu,Abdul Kolarkunnu,Committer,quality: Member
akulyakh,Alexander Kulyakhtin,Author,
alanb,Alan Bateman,Reviewer,"core-libs: Member, csr: Member"
alanbur,Alan Burlison,Author,
alans,Alan Snyder,Author,
alblue,Alex Blewitt,Author,
alexp,Alexander Potochkin,Reviewer,
alexsch,Alexander Scherbatiy,Reviewer,client-libs: Member
alitvinov,Anton Litvinov,Reviewer,
allwin,Peter Allwin,Author,
almatvee,Alexander Matveev,Reviewer,
alundblad,Andreas Lundblad,Reviewer,
amalloy,Alan Malloy,Author,
amarsh,Ana Marsh,Author,
amenkov,Alex Menkov,Reviewer,serviceability: Member
amihalceanu,Ana-Maria Mihalceanu,Author,
amitkumar,Amit Kumar,Committer,
amjiang,Amanda Jiang,Committer,
amlu,Amy Lu,Reviewer,
amrsahu,Amresh Sahu,Author,
amuhsin,Ahmed Muhsin,Author,
amurillo,Alejandro Murillo,Committer,
anashaty,Anton Nashatyrev,Committer,
anazarov,Andrey Nazarov,Committer,
andrew,Andrew John Hughes,Reviewer,"aarch64-port: Committer, cvmi: Lead, icedtea: Lead, vulnerability: Member"
andrewlu,Andrew Lu,Committer,
aniyogi,Avik Niyogi,Committer,
anoll,Albert Noll,Committer,
ant,Anton Tarasov,Reviewer,
anthony,Anthony Petrov,Reviewer,
aoqi,Ao Qi,Author,
apangin,Andrei Pangin,Author,hotspot: Member
apetcher,Adam Petcher,Reviewer,security: Member
aph,Andrew Haley,Reviewer,"aarch32-port: Committer, aarch64-port: Committer, gb: Member, porters: Member, vulnerability: Member, hotspot: Member"
arapte,Ambarish Rapte,Committer,
arigal,Ayush Rigal,Author,
art,Artem Ananiev,Reviewer,
ascarpino,Anthony Scarpino,Reviewer,security: Member
aseoane,Anton Seoane Ampudia,Author,
asemenyuk,Alexey Semenyuk,Reviewer,
asemenov,Artem Semenov,Committer,
ashi,Amos Shi,Committer,
asiebenborn,Axel Siebenborn,Committer,
asmotrak,Artem Smotrakov,Reviewer,
asmundak,Alexander Smundak,Author,
asotona,Adam Sotona,Reviewer,amber: Committer
asteiner,Andreas Steiner,Author,
attila,Attila Szegedi,Reviewer,
aveselov,Aleksandr Veselov,Author,
avieiro,Antonio Vieiro,Committer,
avoitylov,Aleksei Voitylov,Author,vulnerability: Member
avorobye,Alexander Vorobyev,Author,
avstepan,Alexander Stepanov,Committer,
ayang,Albert Mingkun Yang,Reviewer,hotspot: Member
azafari,Afshin Zafari,Reviewer,hotspot: Member
azakharov,Andrey Zakharov,Author,
azeemj,Azeem Jiva,Author,
azeller,Arno Zeller,Author,
azvegint,Alexander Zvegintsev,Reviewer,client-libs: Member
bae,Andrew Brygin,Reviewer,
bagiras,Oleg Pekhovskiy,Committer,
bchristi,Brent Christian,Reviewer,core-libs: Member
bcorso,Brad Corso,Author,
bdelsart,Bertrand Delsart,Committer,
bharadwaj,Bharadwaj Yadavalli,Committer,
bmaram,Bhaktavatsal Maram,Author,
bmoloden,Boris Molodenkov,Author,
bobv,Bob Vandette,Reviewer,
bokken,Brett Okken,Author,
bpatel,Bhavesh Patel,Reviewer,
bpb,Brian Burkhalter,Reviewer,core-libs: Member
bpittore,Bill Pittore,Author,
briangoetz,Brian Goetz,Reviewer,"amber: Lead, compiler: Member, core-libs: Member, csr: Member"
bstafford,Brian Stafford,Author,
btaylor,Ben Taylor,Committer,
brutisso,Bengt Rutisson,Reviewer,hotspot: Member
burban,Bernhard Urban-Forster,Author,
bwalsh,Ben Walsh,Author,
bzhang,Bo Zhang,Author,
cashford,Corey Ashford,Author,
ccheung,Calvin Cheung,Reviewer,hotspot: Member
ceisserer,Clemens Eisserer,Author,
cgo,Christoph Goettschkes,Author,
cgracie,Charlie Gracie,Author,
chagedorn,Christian Hagedorn,Reviewer,hotspot: Member
chegar,Chris Hegarty,Reviewer,"amber: Committer, brisbane: Reviewer, core-libs: Member, detroit: Committer, net: Member"
chrisphi,Chris Phillips,Author,hotspot: Member
cjplummer,Chris Plummer,Reviewer,"hotspot: Member, serviceability: Member"
cl,Christine Lu,Committer,
clanger,Christoph Langer,Reviewer,"build: Member, vulnerability: Member"
coffeys,Sean Coffey,Reviewer,
coleenp,Coleen Phillimore,Reviewer,hotspot: Member
collins,Gary Collins,Committer,
cpeng,Chang Peng,Author,
csahu,Cheleswer Sahu,Author,
ctornqvi,Christian Tornqvist,Reviewer,hotspot: Member
cvarming,Carsten Varming,Author,
cverghese,Clive Verghese,Author,
cwayne,Clifford Wayne,Author,
darcy,Joe Darcy,Reviewer,"amber: Reviewer, coin: Lead, compiler: Member, core-libs: Member, csr: Lead"
david,David Lindholm,Reviewer,
dbriemann,David Briemann,Committer,
dboyle,Dermot Boyle,Author,
dbuck,David Buck,Committer,
dcherepanov,Dmitry Cherepanov,Reviewer,
dconway,Darragh Conway,Author,
dcubed,Daniel D. Daugherty,Reviewer,"hotspot: Member, serviceability: Member"
ddehaven,David Dehaven,Committer,
ddmitriev,Dmitry Dmitriev,Committer,
denis,Denis Fokin,Committer,
dermashov,Dmitriy Ermashov,Committer,
dfazunen,Dmitry Fazunenko,Committer,
dfenacci,Damon Fenacci,Committer,
dfuchs,Daniel Fuchs,Reviewer,"core-libs: Member, net: Member"
dhanalla,Dhamoder Nalla,Author,
dholmes,David Holmes,Reviewer,"core-libs: Member, csr: Member, hotspot: Member"
diazhou,Jerry Zhou,Author,
djelinski,Daniel Jelinski,Reviewer,net: Member
dkulikov,Dmitry Kulikov,Author,
