jep_number,title,status,target_version,owner
1,JDK Enhancement-Proposal & Roadmap Process,Active,,Mark Reinhold
2,JEP Template,Active,,Mark Reinhold
3,JDK Release Process,Active,,Mark Reinhold
11,Incubator Modules,Active,,Chris Hegarty
12,Preview Features,Active,,Alex Buckley
14,The Tip & Tail Model of Library Development,Active,,Alex Buckley
101,Generalized Target-Type Inference,Closed / Delivered,8,Maurizio Cimadamore
102,Process API Updates,Closed / Delivered,9,Roger Riggs
103,Parallel Array Sorting,Closed / Delivered,8,Chris Hegarty
104,Type Annotations,Closed / Delivered,8,Michael Ernst
105,DocTree API,Closed / Delivered,8,Jonathan Gibbons
106,Add Javadoc to javax.tools,Closed / Delivered,8,Jonathan Gibbons
107,Bulk Data Operations for Collections,Closed / Delivered,8,Mike Duigou
108,Collections Enhancements from Third-Party Libraries,Closed / Withdrawn,,Mike Duigou
109,Enhance Core Libraries with Lambda,Closed / Delivered,8,Stuart Marks
110,HTTP/2 Client (Incubator),Closed / Delivered,9,Michael McMahon
111,Additional Unicode Constructs for Regular Expressions,Candidate,,Xueming Shen
112,Charset Implementation Improvements,Closed / Delivered,8,Xueming Shen
113,MS-SFU Kerberos 5 Extensions,Closed / Delivered,8,Weijun Wang
114,TLS Server Name Indication (SNI) Extension,Closed / Delivered,8,Xuelei Fan
115,AEAD CipherSuites,Closed / Delivered,8,Bradford Wetmore
116,Extended Validation SSL Certificates,Closed / Withdrawn,,Xuelei Fan
117,Remove the Annotation-Processing Tool (apt),Closed / Delivered,8,Joe Darcy
118,Access to Parameter Names at Runtime,Closed / Delivered,8,Alex Buckley
119,javax.lang.model Implementation Backed by Core Reflection,Closed / Delivered,8,Joe Darcy
120,Repeating Annotations,Closed / Delivered,8,Alex Buckley
121,Stronger Algorithms for Password-Based Encryption,Closed / Delivered,8,Vincent Ryan
122,Remove the Permanent Generation,Closed / Delivered,8,Jon Masamitsu
123,Configurable Secure Random-Number Generation,Closed / Delivered,8,Bradford Wetmore
124,Enhance the Certificate Revocation-Checking API,Closed / Delivered,8,Sean Mullan
125,"Network Interface Aliases, Events, and Defaults",Closed / Withdrawn,,Michael McMahon
126,Lambda Expressions & Virtual Extension Methods,Closed / Delivered,8,Brian Goetz
127,Improve Locale Data Packaging and Adopt Unicode CLDR Data,Closed / Delivered,8,Naoto Sato
128,Unicode BCP 47 Locale Matching,Closed / Delivered,8,Yuka Kamiya
129,NSA Suite B Cryptographic Algorithms,Closed / Delivered,8,Valerie Peng
130,SHA-224 Message Digests,Closed / Delivered,8,Valerie Peng
131,PKCS#11 Crypto Provider for 64-bit Windows,Closed / Delivered,8,Valerie Peng
132,More-prompt finalization,Closed / Withdrawn,,Jon Masamitsu
133,Unicode 6.2,Closed / Delivered,8,Yuka Kamiya
134,Intuitive Semantics for Nested Reference Objects,Candidate,,Mandy Chung
135,Base64 Encoding & Decoding,Closed / Delivered,8,Alan Bateman
136,Enhanced Verification Errors,Closed / Delivered,8,Keith Mcguigan
137,Diagnostic-Command Framework,Draft,,Frederic Parain
138,Autoconf-Based Build System,Closed / Delivered,8,Magnus Ihse Bursie
139,Enhance javac to Improve Build Speed,Closed / Delivered,8,Magnus Ihse Bursie
140,Limited doPrivileged,Closed / Delivered,8,Jeffrey Nisewanger
141,Increase the Client VM's Default Heap Size,Closed / Withdrawn,,Jesper Wilhelmsson
142,Reduce Cache Contention on Specified Fields,Closed / Delivered,8,Tony Printezis
143,Improve Contended Locking,Closed / Delivered,9,Daniel Daugherty
144,Reduce GC Latency for Large Heaps,Closed / Withdrawn,,Jesper Wilhelmsson
145,Cache Compiled Code,Closed / Withdrawn,,Christian Thalinger
146,Improve Fatal Error Logs,Closed / Withdrawn,,Tom Rodriguez
147,Reduce Class Metadata Footprint,Closed / Delivered,8,Jiangli Zhou
148,Small VM,Closed / Delivered,8,Bob Vandette
149,Reduce Core-Library Memory Usage,Closed / Delivered,8,Roger Riggs
150,Date & Time API,Closed / Delivered,8,Xueming Shen
151,Compress Time-Zone Data,Closed / Withdrawn,,Stuart Marks
152,Crypto Operations with Network HSMs,Closed / Withdrawn,,Vincent Ryan
153,Launch JavaFX Applications,Closed / Delivered,8,Kumar Srinivasan
154,Remove Serialization,Closed / Withdrawn,,Alan Bateman
155,Concurrency Updates,Closed / Delivered,8,Chris Hegarty
156,G1 GC: Reduce need for full GCs,Closed / Delivered,8u40,Stefan Karlsson
157,G1 GC: NUMA-Aware Allocation,Closed / Withdrawn,,Jesper Wilhelmsson
158,Unified JVM Logging,Closed / Delivered,9,Marcus Larsson
159,Enhanced Class Redefinition,Closed / Withdrawn,,Thomas Wuerthinger
160,Lambda-Form Representation for Method Handles,Closed / Delivered,8,John Rose
161,Compact Profiles,Closed / Delivered,8,Bob Vandette
162,Prepare for Modularization,Closed / Delivered,8,Alan Bateman
163,Enable NUMA Mode by Default When Appropriate,Draft,,Jesper Wilhelmsson
164,Leverage CPU Instructions for AES Cryptography,Closed / Delivered,8,Vladimir Kozlov
165,Compiler Control,Closed / Delivered,9,Nils Eliasson
166,Overhaul JKS-JCEKS-PKCS12 Keystores,Closed / Delivered,8,Vincent Ryan
167,Event-Based JVM Tracing,Closed / Delivered,7u40,Staffan Larsen
168,Network Discovery of Manageable Java Processes,Closed / Delivered,8,Dmitriy Samersoff
169,Larval State for Value Objects,Draft,,John Rose
170,JDBC 4.2,Closed / Delivered,8,Lance Andersen
171,Fence Intrinsics,Closed / Delivered,8,Doug Lea
172,DocLint,Closed / Delivered,8,Jonathan Gibbons
173,Retire Some Rarely-Used GC Combinations,Closed / Delivered,8,Bengt Rutisson
174,Nashorn JavaScript Engine,Closed / Delivered,8,Jim Laskey
175,PowerPC/AIX Port,Closed / Delivered,8u20,Volker Simonis
176,Mechanical Checking of Caller-Sensitive Methods,Closed / Delivered,8,John Rose
177,Optimize java.text.DecimalFormat.format,Closed / Delivered,8,Joe Darcy
178,Statically-Linked JNI Libraries,Closed / Delivered,8,Bob Vandette
179,Document JDK API Support and Stability,Closed / Delivered,8,Joe Darcy
180,Handle Frequent HashMap Collisions with Balanced Trees,Closed / Delivered,8,Brent Christian
181,Nest-Based Access Control,Closed / Delivered,11,David Holmes
182,Policy for Retiring javac -source and -target Options,Draft,,Joe Darcy
183,HTTP Cross-Origin Resource Sharing,Closed / Withdrawn,,Michael McMahon
184,HTTP URL Permissions,Closed / Delivered,8,Michael McMahon
185,Restrict Fetching of External XML Resources,Closed / Delivered,8,Joe Wang
186,Collection Literals,Closed / Withdrawn,,Brian Goetz
188,Java Memory Model Update,Draft,,Doug Lea
189,Shenandoah: A Low-Pause-Time Garbage Collector (Experimental),Closed / Delivered,12,Roman Kennke
190,Pluggable Static Analyzers,Draft,,Jan Lahoda
191,Foreign Function Interface,Closed / Withdrawn,,John Rose
192,String Deduplication in G1,Closed / Delivered,8u20,Per Liden
193,Variable Handles,Closed / Delivered,9,Paul Sandoz
194,Nashorn Code Persistence,Closed / Withdrawn,,Jim Laskey
195,Scalable Native Memory Tracking,Closed / Delivered,8u40,Mary Lautman
196,Nashorn Optimistic Typing,Closed / Delivered,8u40,Marcus Lagergren
197,Segmented Code Cache,Closed / Delivered,9,Tobias Hartmann
198,Light-Weight JSON API,Closed / Withdrawn,,Mike Duigou
199,"Smart Java Compilation, Phase Two",Closed / Delivered,9,Andreas Lundblad
200,The Modular JDK,Closed / Delivered,9,Mark Reinhold
201,Modular Source Code,Closed / Delivered,9,Alan Bateman
202,Nashorn Class Filter,Closed / Delivered,8u40,Sundararajan Athijegannathan
203,Nashorn: Lexically-Scoped Variable & Constant Declarations,Closed / Delivered,8u40,Hannes Wallnoefer
204,JavaFX Accessibility,Closed / Delivered,8u40,Steve Northover
205,New Controls for JavaFX,Closed / Delivered,8u40,Steve Northover
206,Modernize the JavaFX Media Stack on Mac OS X,Closed / Delivered,8u40,David Dehaven
207,Leverage CPU Instructions to Improve SHA Performance on SPARC,Closed / Delivered,8u40,Vladimir Kozlov
208,Java Packager Improvements,Closed / Delivered,8u40,Danno Ferrin
209,JavaFX Scene Builder Update,Closed / Delivered,8u40,Simon Vienot
210,LambdaForm Reduction and Caching,Closed / Delivered,8u40,Vladimir Ivanov
211,Elide Deprecation Warnings on Import Statements,Closed / Delivered,9,Joe Darcy
212,Resolve Lint and Doclint Warnings,Closed / Delivered,9,Joe Darcy
213,Milling Project Coin,Closed / Delivered,9,Joe Darcy
214,Remove GC Combinations Deprecated in JDK 8,Closed / Delivered,9,Bengt Rutisson
215,Tiered Attribution for javac,Closed / Delivered,9,Vicente Arturo Romero Zaldivar
216,Process Import Statements Correctly,Closed / Delivered,9,Jan Lahoda
217,Annotations Pipeline 2.0,Closed / Delivered,9,Joel Borggrén-Franck
218,Generics over Primitive Types,Candidate,,Brian Goetz
219,Datagram Transport Layer Security (DTLS),Closed / Delivered,9,Xuelei Fan
220,Modular Run-Time Images,Closed / Delivered,9,Alan Bateman
221,New Doclet API,Closed / Delivered,9,Kumar Srinivasan
222,jshell: The Java Shell (Read-Eval-Print Loop),Closed / Delivered,9,Robert Field
223,New Version-String Scheme,Closed / Delivered,9,Iris Clark
224,HTML5 Javadoc,Closed / Delivered,9,Bhavesh Patel
225,Javadoc Search,Closed / Delivered,9,Bhavesh Patel
226,UTF-8 Property Resource Bundles,Closed / Delivered,9,Naoto Sato
227,Unicode 7.0,Closed / Delivered,9,Yuka Kamiya
228,Add More Diagnostic Commands,Closed / Delivered,9,Staffan Larsen
229,Create PKCS12 Keystores by Default,Closed / Delivered,9,Vincent Ryan
230,Microbenchmark Suite,Closed / Delivered,12,Claes Redestad
231,Remove Launch-Time JRE Version Selection,Closed / Delivered,9,Kumar Srinivasan
232,Improve Secure Application Performance,Closed / Delivered,9,Sean Mullan
233,Generate Run-Time Compiler Tests Automatically,Closed / Delivered,9,Igor Ignatyev
234,Additional Run-Time Compiler JVM Trace Events,Candidate,,Igor Ignatyev
235,Test Class-File Attributes Generated by javac,Closed / Delivered,9,Andrei Eremeev
236,Parser API for Nashorn,Closed / Delivered,9,Sundararajan Athijegannathan
237,Linux/AArch64 Port,Closed / Delivered,9,Andrew Haley
238,Multi-Release JAR Files,Closed / Delivered,9,Paul Sandoz
239,Update JavaFX/WebView to Newer Version of WebKit,Closed / Delivered,8u60,Victor Dyakov
240,Remove the JVM TI hprof Agent,Closed / Delivered,9,Staffan Larsen
241,Remove the jhat Tool,Closed / Delivered,9,Staffan Larsen
242,JVM Trace Events for Failed Allocations,Closed / Delivered,8u60,Marcus Larsson
243,Java-Level JVM Compiler Interface,Closed / Delivered,9,John Rose
244,TLS Application-Layer Protocol Negotiation Extension,Closed / Delivered,9,Bradford Wetmore
245,Validate JVM Command-Line Flag Arguments,Closed / Delivered,9,Gerard Ziemski
246,Leverage CPU Instructions for GHASH and RSA,Closed / Delivered,9,Anthony Scarpino
247,Compile for Older Platform Versions,Closed / Delivered,9,Jan Lahoda
248,Make G1 the Default Garbage Collector,Closed / Delivered,9,Stefan Johansson
249,OCSP Stapling for TLS,Closed / Delivered,9,Jamil Nimeh
250,Store Interned Strings in CDS Archives,Closed / Delivered,9,Ioi Lam
251,Multi-Resolution Images,Closed / Delivered,9,Alexandr Scherbatiy
252,Use CLDR Locale Data by Default,Closed / Delivered,9,Naoto Sato
253,Prepare JavaFX UI Controls & CSS APIs for Modularization,Closed / Delivered,9,Jonathan Giles
254,Compact Strings,Closed / Delivered,9,Xueming Shen
255,Merge Selected Xerces 2.11.0 Updates into JAXP,Closed / Delivered,9,Joe Wang
256,BeanInfo Annotations,Closed / Delivered,9,Sergey Bylokhov
257,Update JavaFX/Media to Newer Version of GStreamer,Closed / Delivered,9,Alexander Matveev
258,HarfBuzz Font-Layout Engine,Closed / Delivered,9,Philip Race
259,Stack-Walking API,Closed / Delivered,9,Mandy Chung
260,Encapsulate Most Internal APIs,Closed / Delivered,9,Chris Hegarty
261,Module System,Closed / Delivered,9,Mark Reinhold
262,TIFF Image I/O,Closed / Delivered,9,Philip Race
263,HiDPI Graphics on Windows and Linux,Closed / Delivered,9,Alexandr Scherbatiy
264,Platform Logging API and Service,Closed / Delivered,9,Daniel Fuchs
265,Marlin Graphics Renderer,Closed / Delivered,9,Laurent Bourgès
266,More Concurrency Updates,Closed / Delivered,9,Doug Lea
267,Unicode 8.0,Closed / Delivered,9,Yuka Kamiya
268,XML Catalogs,Closed / Delivered,9,Joe Wang
