bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,5,Card marking write barrier for generational mode.,bernd-aws,2020-10-27,2020-11-16,integrated,,,20,rkennke
,6,Generation labeling for regions and allocation requests.,bernd-aws,2020-11-16,2020-11-16,integrated,,,0,rkennke
,7,Generation affiliation transitions for heap regions.,bernd-aws,2020-11-17,2020-11-18,integrated,,,1,rkennke
,8,Differentiate young generation marking.,bernd-aws,2020-11-18,2020-12-09,integrated,,,21,rkennke
,9,Marking and evacuation constrained to young gen in generational mode.,bernd-aws,2020-12-09,2020-12-14,integrated,,,5,rkennke
,12,Scan remembered,kdnilsen,2021-01-08,2021-01-15,integrated,Amazon,US,7,"zhengyu123,rkennke"
,13,Milestone 1,kdnilsen,2021-01-21,2021-02-04,integrated,Amazon,US,14,"adityamandaleeka,rkennke"
,15,"Mark concurrent roots as global when requested to do so, instead of young",rkennke,2021-02-16,2021-02-16,integrated,Red Hat,CH,0,shipilev
,16,Fix builds that do not have Shenandoah or other GCs,shipilev,2021-02-17,2021-02-17,integrated,Amazon,US,0,rkennke
,17,Fix Windows build failures,shipilev,2021-02-17,2021-02-17,integrated,Amazon,US,0,rkennke
,18,Fix Zero builds,shipilev,2021-02-17,2021-02-18,integrated,Amazon,US,1,rkennke
,19,Allow young collection to suspend marking in old generation,earthling-amzn,2021-02-19,2021-03-10,integrated,Amazon,US,19,rkennke
,20,Account for usage of all regions in humongous object during promotion,earthling-amzn,2021-03-10,2021-03-11,integrated,Amazon,US,1,rkennke
,21,Update periodic gc test for changed heuristic log message,earthling-amzn,2021-03-11,2021-03-16,integrated,Amazon,US,5,rkennke
,22,"Only scan dirty cards, not entire regions, in update refs remset scan.",bernd-aws,2021-03-12,2021-03-18,integrated,,,6,rkennke
,23,Fix ShenandoahPurgeSATBTask,zhengyu123,2021-03-18,2021-03-18,integrated,Oracle,CA,0,rkennke
,24,Restore ShenandoahVerify functionality for generational mode,earthling-amzn,2021-03-18,2021-03-19,integrated,Amazon,US,1,rkennke
,25,Refix ShenandoahPurgeSATBTask,zhengyu123,2021-03-23,2021-04-12,integrated,Oracle,CA,20,"earthling-amzn,rkennke"
,26,"Clean up CondCardMark code: remove excess barriers, enable it by default",shipilev,2021-03-31,2021-04-02,integrated,Amazon,US,2,zhengyu123
,27,Add parallel worker timings for remembered set scan,earthling-amzn,2021-04-02,2021-04-05,integrated,Amazon,US,3,shipilev
,28,Use timed wait to sleep control thread,earthling-amzn,2021-04-06,2021-04-08,integrated,Amazon,US,2,shipilev
,29,Mixed evacuation,kdnilsen,2021-04-07,2021-04-27,integrated,Amazon,US,20,
,30,"Use PLABs for old gen allocations, including promotions.",bernd-aws,2021-04-12,2021-05-03,integrated,,,21,rkennke
,31,Update remembered set during old generation mark,earthling-amzn,2021-04-14,2021-04-21,integrated,Amazon,US,7,rkennke
,33,Fix barrier set cast for aarch64,earthling-amzn,2021-04-29,2021-05-03,integrated|sponsor,Amazon,US,4,"rkennke,zhengyu123"
,34,Fix build failures due to undeclared ShenandoahOldHeuristics,shipilev,2021-05-03,2021-05-03,integrated,Amazon,US,0,"zhengyu123,rkennke"
,35,Fix Windows builds,shipilev,2021-05-04,2021-05-04,integrated,Amazon,US,0,rkennke
,36,Fix Region Promotion,earthling-amzn,2021-05-05,2021-05-06,integrated,Amazon,US,1,rkennke
,37,Concurrent remembered set scanning,kdnilsen,2021-05-11,2021-07-22,integrated,Amazon,US,72,rkennke
,38,Abandon old gen cset candidates upon global collection,earthling-amzn,2021-05-13,2021-05-14,integrated,Amazon,US,1,rkennke
,39,More promotion fixes,earthling-amzn,2021-05-13,2021-05-14,integrated,Amazon,US,1,rkennke
,41,Fix verifier handling of weak references when scanning the remembered set,earthling-amzn,2021-05-19,2021-05-25,integrated,Amazon,US,6,"rkennke,zhengyu123"
,43,Mixed evacuation fixes,earthling-amzn,2021-05-21,2021-05-25,integrated,Amazon,US,4,rkennke
,44,Collect old humongous regions immediately at end of concurrent old mark,earthling-amzn,2021-05-21,2021-05-25,integrated,Amazon,US,4,rkennke
,46,Encode phase for each generation separately,earthling-amzn,2021-05-25,2021-05-26,integrated,Amazon,US,1,rkennke
,47,Check explicitly for affiliation when updating references,earthling-amzn,2021-05-26,2021-05-27,integrated,Amazon,US,1,zhengyu123
,49,Fix 32-bit builds,shipilev,2021-06-14,2021-06-14,integrated,Amazon,US,0,rkennke
,51,Do old satb during interrupting young,kdnilsen,2021-07-07,2021-07-19,integrated,Amazon,US,12,rkennke
,52,Check that pointer is in heap before checking the affiliation of owning region,earthling-amzn,2021-07-22,2021-08-06,integrated,Amazon,US,15,rkennke
,53,Generational support for weak roots and references,earthling-amzn,2021-07-22,2021-08-09,integrated,Amazon,US,18,rkennke
,54,Enable skip update references,earthling-amzn,2021-08-09,2021-08-10,integrated,Amazon,US,1,rkennke
,55,Re-enable class unloading,earthling-amzn,2021-08-09,2021-08-10,integrated,Amazon,US,1,rkennke
,57,Make immediate trash of old regions with no live objects,earthling-amzn,2021-08-16,2021-08-16,integrated,Amazon,US,0,rkennke
,58,Fix Zero builds,shipilev,2021-08-18,2021-08-19,integrated,Amazon,US,1,rkennke
,59,Preserve and restore original element count for card table barrier,earthling-amzn,2021-08-19,2021-08-20,integrated,Amazon,US,1,rkennke
