bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,changed_files,additions,deletions
8240863,1,8240863: Update .jcheck/conf for Valhalla lworld branch,rwestberg,2020-03-11,2020-03-11,integrated,,,0,1,35,2
,2,Added IdentityObject.newIdentity(),RogerRiggs,2020-03-20,2020-03-24,integrated,Oracle,US,4,2,21,2
8241533,4,8241533: [lworld] PhaseMacroExpand::migrate_outs should be replaced b…,TobiHartmann,2020-03-25,2020-03-27,integrated,Oracle,DE,2,3,9,20
,5,Prototype inline cursors for List,RogerRiggs,2020-03-26,2020-03-31,integrated,Oracle,US,5,3,2078,0
8235753,6,8235753: [lworld] Handle deoptimization when buffering scalarized inline type args in C1,TobiHartmann,2020-03-27,2020-03-31,integrated,Oracle,DE,4,13,174,105
8236522,7,8236522: NonTearable marker interface for inline classes,rose00,2020-03-28,2020-03-31,integrated,,,3,23,842,36
8241910,8,8241910: [lworld] C2 crashes due to duplicate storestore barrier added by JDK-8236522,TobiHartmann,2020-03-31,2020-03-31,integrated,Oracle,DE,0,2,2,18
8241918,9,8241918: [lworld] Build failures after JDK-8236522,TobiHartmann,2020-03-31,2020-03-31,integrated,Oracle,DE,0,1,6,8
8241764,12,8241764: [lworld] TestC2CCalls fails with SIGSEGV in frame::sender_for_compiled_frame,TobiHartmann,2020-04-02,2020-04-03,integrated,Oracle,DE,1,11,115,111
8242210,13,8242210: [lworld] TestCallingConvention::test36 spuriously fails,TobiHartmann,2020-04-07,2020-04-09,integrated,Oracle,DE,2,10,78,104
8242344,14,8242344: [lworld] JDK-8236522 class_list_match_sane() introduced strncpy truncation warnings,MrSimms,2020-04-08,2020-04-08,integrated,Oracle,,0,1,0,67
8242454,16,"8242454: [lworld] TestLWorld::test63 fails with ""no exception thrown""",TobiHartmann,2020-04-09,2020-04-09,integrated,Oracle,DE,0,1,4,0
8242455,17,"8242455: [lworld] C1 compilation fails with assert ""should have same type""",TobiHartmann,2020-04-09,2020-04-09,integrated,Oracle,DE,0,1,20,4
8242457,18,8242457: [lworld] Cherry pick and adjust JDK-8241997 for Valhalla,TobiHartmann,2020-04-09,2020-04-09,integrated,Oracle,DE,0,2,42,48
8242443,19,"8242443: [lworld] Disabling scalarization fails with assert ""incorrect depth prediction""",TobiHartmann,2020-04-09,2020-04-09,integrated,Oracle,DE,0,1,12,12
8242269,20,"8242269: [lworld] C2 compilation fails with assert ""meet not symmetric""",rwestrel,2020-04-09,2020-04-20,integrated,Red Hat,FR,11,1,30,28
8242496,21,8242496: [lworld] new and defaultvalue don't perform checks on class to instantiate,fparain,2020-04-10,2020-04-14,integrated,Oracle,,4,5,155,0
,22,Change exception messages to say 'Inline type' instead of 'Value type',hseigel,2020-04-10,2020-04-13,integrated,Oracle,CA,3,2,8,8
8242900,23,8242900: [lworld] Allow an inline type to declare a superclass that meets specified restrictions,sadayapalam,2020-04-16,2020-04-23,integrated,Oracle,,7,28,437,51
,24,allow inline classes to have abstract supers,hseigel,2020-04-20,2020-04-20,integrated,Oracle,CA,0,3,21,7
